Date,Home_Team,Away_Team,Full_Time_Result,Home_Full_Time_Goals,Away_Full_Time_Goals,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Home_Bet365_Odds,Draw_Bet365_Odds,Away_Bet365_Odds,Season
2011-12-04,Wolves,Sunderland,H,2,1,15,18,10,12,8,3,10,12,2,3,0,0,2.4,3.3,3,2011-2012
2011-12-05,Fulham,Liverpool,H,1,0,19,17,13,9,2,10,12,9,3,1,0,1,3.5,3.4,2.1,2011-2012
2011-12-10,Arsenal,Everton,H,1,0,12,7,7,1,7,4,7,14,2,2,0,0,1.53,4,6.5,2011-2012
2011-12-10,Bolton,Aston Villa,A,1,2,17,17,12,11,6,10,10,7,1,2,0,0,2.5,3.3,2.88,2011-2012
2011-12-10,Liverpool,QPR,H,1,0,21,6,15,2,17,5,12,5,2,0,0,0,1.33,5,10,2011-2012
2011-12-10,Man United,Wolves,H,4,1,22,11,18,8,8,2,7,8,1,0,0,0,1.22,6,15,2011-2012
2011-12-10,Norwich,Newcastle,H,4,2,13,11,11,8,7,2,9,8,3,2,0,1,2.4,3.4,2.88,2011-2012
2011-12-10,Swansea,Fulham,H,2,0,16,12,8,7,6,5,8,7,1,1,0,0,2.63,3.25,2.75,2011-2012
2011-12-10,West Brom,Wigan,A,1,2,13,7,8,4,13,2,9,7,1,1,0,0,1.67,3.8,5.25,2011-2012
2011-12-11,Stoke,Tottenham,H,2,1,10,15,7,12,7,12,8,7,2,2,0,1,3.75,3.5,2,2011-2012
2011-12-11,Sunderland,Blackburn,H,2,1,22,3,12,2,9,0,11,7,2,2,0,0,1.83,3.5,4.5,2011-2012
2011-12-12,Chelsea,Man City,H,2,1,13,7,7,4,5,1,11,18,4,2,0,1,2.4,3.3,3,2011-2012
2011-12-17,Blackburn,West Brom,A,1,2,17,13,14,6,3,7,7,10,1,1,0,0,2.38,3.3,3,2011-2012
2011-12-17,Everton,Norwich,D,1,1,28,7,15,1,13,0,9,12,1,1,0,0,1.62,3.75,6,2011-2012
2011-12-17,Fulham,Bolton,H,2,0,16,14,9,6,8,4,6,11,1,3,0,0,1.62,3.75,6,2011-2012
2011-12-17,Newcastle,Swansea,D,0,0,17,3,6,0,9,1,11,11,1,1,0,0,1.8,3.6,4.5,2011-2012
2011-12-17,Wigan,Chelsea,D,1,1,15,10,7,5,7,5,8,6,0,0,0,0,9,4.75,1.36,2011-2012
2011-12-17,Wolves,Stoke,A,1,2,10,8,5,4,7,5,8,11,2,4,0,0,2.5,3.25,2.88,2011-2012
2011-12-18,Aston Villa,Liverpool,A,0,2,16,19,8,12,4,10,5,14,1,2,0,0,4.2,3.4,1.91,2011-2012
2011-12-18,Man City,Arsenal,H,1,0,15,12,9,8,4,6,13,10,2,3,0,0,1.73,3.75,4.5,2011-2012
2011-12-18,QPR,Man United,A,0,2,11,19,3,12,5,10,5,7,1,2,0,0,7.5,4.33,1.44,2011-2012
2011-12-18,Tottenham,Sunderland,H,1,0,16,8,12,4,6,0,6,8,1,2,0,0,1.36,4.75,9,2011-2012
2011-12-20,Blackburn,Bolton,A,1,2,17,8,7,5,5,9,10,7,3,0,0,0,2.1,3.4,3.5,2011-2012
2011-12-20,Wolves,Norwich,D,2,2,18,18,9,14,4,6,5,11,2,2,0,0,2,3.5,3.75,2011-2012
2011-12-21,Aston Villa,Arsenal,A,1,2,10,8,4,6,7,15,10,8,2,3,1,0,5,3.6,1.73,2011-2012
2011-12-21,Everton,Swansea,H,1,0,13,4,6,4,9,2,8,13,1,2,0,0,1.57,3.75,6.5,2011-2012
2011-12-21,Fulham,Man United,A,0,5,13,14,8,12,3,10,7,8,1,0,0,0,5,3.6,1.73,2011-2012
2011-12-21,Man City,Stoke,H,3,0,20,2,16,0,5,2,7,5,2,1,0,0,1.22,6,15,2011-2012
2011-12-21,Newcastle,West Brom,A,2,3,21,14,11,8,10,1,9,10,1,0,0,0,2,3.5,3.75,2011-2012
2011-12-21,QPR,Sunderland,A,2,3,17,17,9,13,8,11,10,11,2,2,0,0,2.5,3.3,2.88,2011-2012
2011-12-21,Wigan,Liverpool,D,0,0,15,18,10,10,7,14,16,12,1,2,0,0,7,4,1.5,2011-2012
2011-12-22,Tottenham,Chelsea,D,1,1,16,20,10,10,7,4,14,8,2,2,0,0,2.6,3.4,2.7,2011-2012
2011-12-26,Bolton,Newcastle,A,0,2,4,12,3,7,4,4,9,11,1,1,0,0,2.5,3.4,2.8,2011-2012
2011-12-26,Chelsea,Fulham,D,1,1,24,9,15,6,9,3,10,12,1,1,0,0,1.3,5,12,2011-2012
2011-12-26,Liverpool,Blackburn,D,1,1,28,5,13,2,9,2,5,15,1,0,0,0,1.25,5.5,13,2011-2012
2011-12-26,Man United,Wigan,H,5,0,17,9,9,5,10,2,12,10,2,1,0,1,1.14,7.5,21,2011-2012
2011-12-26,Stoke,Aston Villa,D,0,0,7,10,2,4,7,7,13,10,3,0,0,0,1.91,3.4,4.2,2011-2012
2011-12-26,Sunderland,Everton,D,1,1,12,9,8,3,5,6,6,14,0,1,0,0,2.4,3.25,3,2011-2012
2011-12-26,West Brom,Man City,D,0,0,7,18,3,9,5,9,8,8,0,1,0,0,7,4.5,1.44,2011-2012
2011-12-27,Arsenal,Wolves,D,1,1,23,6,17,4,13,3,3,12,2,3,0,1,1.22,6,15,2011-2012
2011-12-27,Norwich,Tottenham,A,0,2,8,19,4,8,3,10,7,6,1,1,0,0,4.5,3.6,1.8,2011-2012
2011-12-27,Swansea,QPR,D,1,1,7,12,4,7,5,11,9,12,1,3,0,0,2,3.4,3.8,2011-2012
2011-12-30,Liverpool,Newcastle,H,3,1,15,5,7,2,7,0,7,11,0,2,0,0,1.53,4,6.5,2011-2012
2011-12-31,Arsenal,QPR,H,1,0,16,6,7,3,12,4,11,13,2,2,0,0,1.25,5.5,13,2011-2012
2011-12-31,Bolton,Wolves,D,1,1,13,8,9,5,3,6,11,8,0,0,0,0,2.2,3.25,3.4,2011-2012
2011-12-31,Chelsea,Aston Villa,A,1,3,16,12,5,9,9,2,7,13,1,1,0,0,1.29,5,13,2011-2012
2011-12-31,Man United,Blackburn,A,2,3,26,10,13,5,17,3,8,10,2,2,0,0,1.13,8,26,2011-2012
2011-12-31,Norwich,Fulham,D,1,1,18,11,9,6,4,3,9,6,0,0,0,0,2.6,3.25,2.75,2011-2012
2011-12-31,Stoke,Wigan,D,2,2,12,10,3,6,8,5,14,5,2,3,0,1,1.67,3.6,5.5,2011-2012
2011-12-31,Swansea,Tottenham,D,1,1,14,12,8,7,10,5,8,4,1,2,0,0,5.5,3.6,1.67,2011-2012
2012-01-01,Sunderland,Man City,H,1,0,8,25,5,11,1,10,7,6,1,1,0,0,6.5,4,1.53,2011-2012
2012-01-01,West Brom,Everton,A,0,1,10,13,2,8,2,7,10,8,0,2,0,0,2.6,3.25,2.75,2011-2012
2012-01-02,Aston Villa,Swansea,A,0,2,10,8,2,4,14,0,11,6,2,4,0,0,1.83,3.4,4.75,2011-2012
2012-01-02,Blackburn,Stoke,A,1,2,14,8,7,3,8,3,8,7,2,1,0,0,2.5,3.25,2.88,2011-2012
2012-01-02,Fulham,Arsenal,H,2,1,21,17,8,10,4,3,6,12,0,1,0,1,4,3.5,1.91,2011-2012
2012-01-02,QPR,Norwich,A,1,2,9,13,6,6,2,5,12,12,2,1,1,0,2.1,3.4,3.5,2011-2012
2012-01-02,Wolves,Chelsea,A,1,2,9,15,5,10,0,5,9,10,3,2,0,0,6,4,1.57,2011-2012
2012-01-03,Man City,Liverpool,H,3,0,10,18,8,10,5,6,13,7,1,2,1,0,1.91,3.4,4.2,2011-2012
2012-01-03,Tottenham,West Brom,H,1,0,20,8,14,2,14,7,3,14,0,5,0,0,1.33,5,10,2011-2012
2012-01-03,Wigan,Sunderland,A,1,4,20,10,10,9,9,6,9,6,1,0,0,0,2.63,3.25,2.75,2011-2012
2012-01-04,Everton,Bolton,A,1,2,10,12,4,7,5,10,7,11,1,3,0,0,1.5,4,7,2011-2012
2012-01-04,Newcastle,Man United,H,3,0,10,6,6,6,4,4,16,15,1,2,0,0,5,3.6,1.73,2011-2012
2012-01-11,Tottenham,Everton,H,2,0,14,11,7,4,6,4,5,15,1,3,0,0,1.53,3.8,7,2011-2012
2012-01-14,Aston Villa,Everton,D,1,1,17,7,11,4,9,3,12,11,1,1,0,0,2.4,3.25,3,2011-2012
