Date,Home_Team,Away_Team,Full_Time_Result,Full_Time_Home_Goals,Full_Time_Away_Goals,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Bet365_Home_Odds,Bet365_Draw_Odds,Bet365_Away_Odds,Pinnacle_Home_Odds,Pinnacle_Draw_Odds,Pinnacle_Away_Odds,Season
2020-09-12,Fulham,Arsenal,A,0,3,5,13,2,6,2,3,12,12,2,2,0,0,6,4.33,1.53,5.48,3.98,1.69,2020-2021
2020-09-12,Crystal Palace,Southampton,H,1,0,5,9,3,5,7,3,14,11,2,1,0,0,3.1,3.25,2.37,3.09,3.27,2.54,2020-2021
2020-09-12,Liverpool,Leeds,H,4,3,22,6,6,3,9,0,9,6,1,0,0,0,1.28,6,9.5,1.28,6.34,11.38,2020-2021
2020-09-12,West Ham,Newcastle,A,0,2,15,15,3,2,8,7,13,7,2,2,0,0,2.15,3.4,3.4,2.04,3.59,3.92,2020-2021
2020-09-13,West Brom,Leicester,A,0,3,7,13,1,7,2,5,12,9,1,1,0,0,3.8,3.6,1.95,3.38,3.38,2.32,2020-2021
2020-09-13,Tottenham,Everton,A,0,1,9,15,5,4,5,3,15,7,1,0,0,0,1.83,3.6,4.33,2.09,3.5,3.88,2020-2021
2020-09-14,Brighton,Chelsea,A,1,3,13,10,3,5,4,3,8,13,1,0,0,0,5,4.33,1.61,6.07,4.46,1.57,2020-2021
2020-09-14,Sheffield United,Wolves,A,0,2,9,11,2,4,12,5,13,7,2,1,0,0,3.25,3.1,2.37,3.28,2.9,2.68,2020-2021
2020-09-19,Everton,West Brom,H,5,2,17,6,7,4,11,1,9,11,1,0,0,1,1.5,4.2,6.5,1.61,4.12,6.41,2020-2021
2020-09-19,Leeds,Fulham,H,4,3,10,14,7,6,5,3,13,18,1,2,0,0,1.61,3.9,5.75,1.75,3.91,5.12,2020-2021
2020-09-19,Man United,Crystal Palace,A,1,3,13,14,4,5,9,3,13,10,2,1,0,0,1.3,5.5,9.5,1.38,5.18,9.33,2020-2021
2020-09-19,Arsenal,West Ham,H,2,1,7,14,3,3,7,5,11,13,0,1,0,0,1.53,4.5,5.5,1.53,4.53,6.81,2020-2021
