Date,Home_Team,Away_Team,Full_Time_Result,Full_Time_Home_Goals,Full_Time_Away_Goals,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Bet365_Home_Odds,Bet365_Draw_Odds,Bet365_Away_Odds,Pinnacle_Home_Odds,Pinnacle_Draw_Odds,Pinnacle_Away_Odds,Season
2020-09-20,Southampton,Tottenham,A,2,5,14,9,7,6,3,2,16,18,4,3,0,0,3,3.3,2.37,3.45,3.46,2.27,2020-2021
2020-09-20,Newcastle,Brighton,A,0,3,6,13,0,6,7,1,16,15,3,0,0,1,2.6,3.1,2.87,2.7,3.21,2.96,2020-2021
2020-09-20,Chelsea,Liverpool,A,0,2,5,18,3,6,1,11,10,6,0,0,1,0,3.1,3.6,2.2,3.32,3.89,2.17,2020-2021
2020-09-20,Leicester,Burnley,H,4,2,14,16,6,5,15,4,11,13,1,2,0,0,1.61,4,5.5,1.55,4.36,6.74,2020-2021
2020-09-21,Aston Villa,Sheffield United,H,1,0,18,4,2,1,10,4,12,13,3,1,0,1,2.7,3.1,2.75,2.46,3.19,3.35,2020-2021
2020-09-21,Wolves,Man City,A,1,3,10,14,1,9,4,6,6,8,0,3,0,0,6.5,4.33,1.5,6.7,4.55,1.53,2020-2021
2020-09-26,Brighton,Man United,A,2,3,18,7,5,3,7,1,18,16,4,2,0,0,4.75,3.75,1.72,5.58,4.36,1.63,2020-2021
2020-09-26,Crystal Palace,Everton,A,1,2,8,10,1,5,7,6,16,15,3,1,0,0,3.75,3.25,2.1,3.58,3.34,2.27,2020-2021
2020-09-26,West Brom,Chelsea,D,3,3,9,22,3,10,3,9,8,16,1,3,0,0,9,4.75,1.36,6.96,5.03,1.47,2020-2021
2020-09-26,Burnley,Southampton,A,0,1,10,5,2,1,8,2,8,10,1,0,0,0,3.2,3.3,2.3,3.37,3.47,2.3,2020-2021
2020-09-27,Sheffield United,Leeds,A,0,1,14,17,4,9,5,7,18,4,2,1,0,0,2.7,3.3,2.62,3.09,3.44,2.47,2020-2021
2020-09-27,Tottenham,Newcastle,D,1,1,23,6,12,1,10,4,15,9,1,4,0,0,1.45,4.5,7,1.42,5.05,8.16,2020-2021
2020-09-27,Man City,Leicester,A,2,5,16,7,5,7,3,4,13,8,1,3,0,0,1.28,6,9.5,1.32,5.9,9.96,2020-2021
2020-09-27,West Ham,Wolves,H,4,0,15,11,7,2,1,3,7,11,0,1,0,0,3.6,3.5,2.05,3.43,3.35,2.33,2020-2021
2020-09-28,Fulham,Aston Villa,A,0,3,16,12,3,5,5,3,18,14,6,3,0,0,2.9,3.25,2.5,3.04,3.49,2.48,2020-2021
2020-09-28,Liverpool,Arsenal,H,3,1,21,4,8,3,7,3,11,7,2,2,0,0,1.45,4.75,6.5,1.5,5.25,5.95,2020-2021
2020-10-03,Chelsea,Crystal Palace,H,4,0,17,4,6,0,8,5,17,13,2,0,0,0,1.4,4.75,8,1.56,4.31,6.67,2020-2021
2020-10-03,Everton,Brighton,H,4,2,11,11,6,3,3,10,13,14,0,1,0,0,1.72,3.75,4.8,1.81,3.86,4.78,2020-2021
2020-10-03,Leeds,Man City,D,1,1,12,23,7,2,7,10,11,12,2,1,0,0,7.5,5.25,1.36,8.85,7.49,1.28,2020-2021
2020-10-03,Newcastle,Burnley,H,3,1,10,7,5,3,3,4,13,17,2,3,0,0,2.4,3.2,3.1,2.45,3.38,3.17,2020-2021
2020-10-04,Leicester,West Ham,A,0,3,4,14,0,6,6,4,11,8,2,2,0,0,1.61,4.2,5.25,1.87,3.88,4.38,2020-2021
2020-10-04,Southampton,West Brom,H,2,0,13,5,7,2,5,1,19,10,2,1,0,0,1.72,3.8,4.75,1.88,3.88,4.34,2020-2021
2020-10-04,Arsenal,Sheffield United,H,2,1,6,6,5,2,2,4,3,9,0,1,0,0,1.57,4,6,1.5,4.46,7.41,2020-2021
2020-10-04,Wolves,Fulham,H,1,0,14,10,5,2,6,2,15,8,1,1,0,0,1.5,4,7.5,1.82,3.64,5.08,2020-2021
2020-10-04,Man United,Tottenham,A,1,6,5,22,2,8,2,4,14,10,2,1,1,0,1.85,3.8,4,2.12,3.7,3.6,2020-2021
2020-10-04,Aston Villa,Liverpool,H,7,2,18,14,11,8,2,7,7,10,2,1,0,0,10,5.5,1.3,6.76,5.1,1.47,2020-2021
2020-10-17,Everton,Liverpool,D,2,2,11,22,5,8,2,5,15,9,3,2,1,0,3.75,4.2,1.83,4.22,4.24,1.83,2020-2021
2020-10-17,Chelsea,Southampton,D,3,3,11,13,5,6,6,2,11,9,1,1,0,0,1.45,4.75,6.5,1.62,4.53,5.39,2020-2021
2020-10-17,Man City,Arsenal,H,1,0,13,11,5,3,6,6,15,10,4,1,0,0,1.44,5,6.5,1.55,4.81,5.76,2020-2021
2020-10-17,Newcastle,Man United,A,1,4,7,28,4,14,0,7,9,12,1,1,0,0,4.75,4,1.66,4.77,4.21,1.74,2020-2021
2020-10-18,Sheffield United,Fulham,D,1,1,10,15,6,6,2,5,5,9,0,2,0,0,2.1,3.3,3.7,2.4,3.16,3.48,2020-2021
2020-10-18,Crystal Palace,Brighton,D,1,1,1,20,1,3,2,5,13,12,3,2,0,1,2.62,3.3,2.7,3.27,3.25,2.47,2020-2021
2020-10-18,Tottenham,West Ham,D,3,3,11,13,6,4,3,7,13,12,0,5,0,0,1.57,4.33,5.5,1.65,4.17,5.61,2020-2021
2020-10-18,Leicester,Aston Villa,A,0,1,11,10,5,4,2,7,18,18,4,3,0,0,1.83,3.8,4.1,2.48,3.62,2.95,2020-2021
2020-10-19,West Brom,Burnley,D,0,0,13,9,6,4,8,2,15,17,2,2,0,0,2.45,3.3,2.9,2.73,3.25,2.9,2020-2021
2020-10-19,Leeds,Wolves,A,0,1,13,7,2,3,8,3,13,12,2,1,0,0,2.5,3.3,2.87,2.61,3.35,2.96,2020-2021
2020-10-23,Aston Villa,Leeds,A,0,3,12,27,4,9,6,5,14,17,2,2,0,0,2.05,3.75,3.3,1.93,4.12,3.88,2020-2021
2020-10-24,West Ham,Man City,D,1,1,6,14,2,7,2,10,14,6,2,0,0,0,8,5.25,1.36,6.97,5.13,1.45,2020-2021
2020-10-24,Fulham,Crystal Palace,A,1,2,16,14,3,10,4,4,11,11,0,1,1,0,2.75,3.1,2.7,2.66,3.14,3.08,2020-2021
2020-10-24,Man United,Chelsea,D,0,0,14,6,4,1,9,6,8,6,3,1,0,0,2.37,3.6,2.8,2.69,3.46,2.79,2020-2021
2020-10-24,Liverpool,Sheffield United,H,2,1,17,13,5,2,7,3,7,15,0,3,0,0,1.22,6.5,12,1.22,7.45,13.55,2020-2021
2020-10-25,Southampton,Everton,H,2,0,12,6,6,2,4,5,11,11,1,2,0,1,2.75,3.4,2.55,3.08,3.56,2.41,2020-2021
2020-10-25,Wolves,Newcastle,D,1,1,16,5,3,2,2,3,10,10,0,1,0,0,1.75,3.5,5.25,1.86,3.52,5.01,2020-2021
2020-10-25,Arsenal,Leicester,A,0,1,12,6,4,2,9,3,13,9,3,5,0,0,1.9,3.75,3.8,2,3.57,4.17,2020-2021
2020-10-26,Brighton,West Brom,D,1,1,5,9,3,3,6,2,14,7,2,0,0,0,1.7,4,4.75,1.67,4.3,5.26,2020-2021
2020-10-26,Burnley,Tottenham,A,0,1,13,9,4,3,4,5,9,7,2,0,0,0,5.75,4,1.6,5.59,4.41,1.61,2020-2021
2020-10-30,Wolves,Crystal Palace,H,2,0,15,11,5,2,7,6,13,4,0,2,0,1,2,3.2,4.33,2.12,3.14,4.34,2020-2021
2020-10-31,Sheffield United,Man City,A,0,1,5,16,1,8,2,5,14,6,0,0,0,0,9.5,6,1.28,10.63,6.25,1.3,2020-2021
2020-10-31,Burnley,Chelsea,A,0,3,5,14,0,9,3,4,10,15,1,0,0,0,6,4.5,1.5,5.59,4.29,1.63,2020-2021
2020-10-31,Liverpool,West Ham,H,2,1,9,4,5,3,1,2,13,14,0,1,0,0,1.36,5.25,7.5,1.44,5.3,7.1,2020-2021
2020-11-01,Aston Villa,Southampton,A,3,4,19,9,10,4,11,1,12,17,1,2,0,0,2.45,3.5,2.8,2.69,3.56,2.73,2020-2021
2020-11-01,Newcastle,Everton,H,2,1,11,15,4,4,5,4,9,10,2,4,0,0,3.7,3.4,2.05,3.34,3.43,2.33,2020-2021
2020-11-01,Man United,Arsenal,A,0,1,8,7,2,2,6,3,12,12,3,3,0,0,2,3.6,3.6,2.02,3.65,3.97,2020-2021
2020-11-01,Tottenham,Brighton,H,2,1,9,6,3,2,4,5,14,13,2,1,0,0,1.61,4,5.5,1.61,4.36,5.77,2020-2021
2020-11-02,Fulham,West Brom,H,2,0,13,10,6,1,5,2,13,11,3,2,0,0,2.4,3.3,3,2.48,3.32,3.19,2020-2021
2020-11-02,Leeds,Leicester,A,1,4,11,10,4,8,10,3,9,5,1,1,0,0,2.5,3.6,2.62,2.42,3.71,2.97,2020-2021
2020-11-06,Brighton,Burnley,D,0,0,19,4,3,1,5,3,11,5,1,0,0,0,1.85,3.5,4.33,1.99,3.42,4.45,2020-2021
2020-11-06,Southampton,Newcastle,H,2,0,15,4,8,2,8,3,12,11,1,2,0,0,2,3.6,3.7,2.2,3.47,3.59,2020-2021
2020-11-07,Everton,Man United,A,1,3,7,13,1,5,5,2,12,19,4,2,0,0,2.9,3.5,2.37,3.33,3.68,2.23,2020-2021
2020-11-07,Crystal Palace,Leeds,H,4,1,10,9,6,3,3,6,9,1,0,2,0,0,2.87,3.4,2.45,2.89,3.57,2.54,2020-2021
2020-11-07,Chelsea,Sheffield United,H,4,1,20,6,9,3,6,7,5,14,0,2,0,0,1.36,5,8.5,1.39,5.16,8.7,2020-2021
2020-11-07,West Ham,Fulham,H,1,0,16,13,7,3,9,5,10,9,2,2,0,0,1.83,3.75,4.2,1.9,3.96,4.12,2020-2021
2020-11-08,West Brom,Tottenham,A,0,1,12,19,2,5,9,6,17,12,1,0,0,0,7,4.33,1.45,6.88,4.71,1.5,2020-2021
2020-11-08,Leicester,Wolves,H,1,0,10,7,3,2,6,3,12,8,2,3,0,0,2.3,3.2,3.25,2.47,3.17,3.35,2020-2021
2020-11-08,Man City,Liverpool,D,1,1,7,10,2,3,1,2,19,11,3,1,0,0,1.95,4.2,3.4,1.95,4.17,3.78,2020-2021
2020-11-08,Arsenal,Aston Villa,A,0,3,13,15,2,6,3,8,11,13,0,0,0,0,1.65,4.1,5,1.66,4.58,4.95,2020-2021
2020-11-21,Newcastle,Chelsea,A,0,2,8,14,1,3,7,4,11,12,2,0,0,0,6.5,4.75,1.45,7.33,4.94,1.46,2020-2021
2020-11-21,Aston Villa,Brighton,A,1,2,15,7,4,3,12,3,5,18,2,1,0,1,2.15,3.6,3.2,2.4,3.51,3.12,2020-2021
2020-11-21,Tottenham,Man City,H,2,0,4,22,2,5,0,10,13,19,2,2,0,0,4,4,1.8,4.3,4.21,1.81,2020-2021
2020-11-21,Man United,West Brom,H,1,0,17,7,7,2,8,2,12,17,1,1,0,0,1.3,5.5,9.5,1.33,5.76,9.79,2020-2021
2020-11-22,Fulham,Everton,A,2,3,14,9,6,7,2,5,14,10,2,0,0,0,3.9,3.9,1.85,4.24,3.89,1.88,2020-2021
2020-11-22,Sheffield United,West Ham,A,0,1,9,15,5,3,2,6,7,6,0,0,0,0,3,3.25,2.4,3.09,3.25,2.56,2020-2021
2020-11-22,Leeds,Arsenal,D,0,0,25,9,4,2,5,3,9,8,3,0,0,1,3,3.75,2.2,3.58,3.89,2.06,2020-2021
2020-11-22,Liverpool,Leicester,H,3,0,24,11,13,4,10,3,15,6,0,2,0,0,1.85,4,3.8,1.82,4.12,4.32,2020-2021
2020-11-23,Burnley,Crystal Palace,H,1,0,10,15,4,5,4,7,13,9,2,0,0,0,2.75,3.1,2.75,2.68,3.16,3.01,2020-2021
2020-11-23,Wolves,Southampton,D,1,1,20,7,9,2,7,4,14,13,2,0,0,0,2.3,3.25,3.25,2.4,3.32,3.28,2020-2021
2020-11-27,Crystal Palace,Newcastle,A,0,2,12,14,3,7,7,3,9,10,2,2,0,0,2.05,3.25,3.75,2.18,3.22,3.96,2020-2021
2020-11-28,Brighton,Liverpool,D,1,1,11,6,3,2,4,3,9,13,2,1,0,0,5.5,4.2,1.57,4.96,4.29,1.69,2020-2021
2020-11-28,Man City,Burnley,H,5,0,19,9,6,1,6,4,12,4,0,0,0,0,1.16,7.5,16,1.13,11.08,19.55,2020-2021
2020-11-28,Everton,Leeds,A,0,1,15,23,8,7,4,2,8,14,1,2,0,0,1.95,3.8,3.6,2.35,3.66,3.09,2020-2021
2020-11-28,West Brom,Sheffield United,H,1,0,17,21,6,5,14,9,10,9,2,3,0,0,2.6,3.2,2.8,2.67,3.17,3.02,2020-2021
2020-11-29,Southampton,Man United,A,2,3,10,15,5,6,5,9,12,12,1,0,0,0,4,3.5,1.95,3.92,3.86,1.96,2020-2021
2020-11-29,Chelsea,Tottenham,D,0,0,13,5,3,1,3,3,20,9,4,2,0,0,2.05,3.5,3.6,2,3.75,3.89,2020-2021
2020-11-29,Arsenal,Wolves,A,1,2,13,11,2,5,8,4,13,13,3,4,0,0,2.05,3.4,3.75,2.14,3.33,3.91,2020-2021
2020-11-30,Leicester,Fulham,A,1,2,16,10,3,5,6,5,9,21,0,2,0,0,1.5,4.33,6.5,1.68,4.1,5.34,2020-2021
2020-11-30,West Ham,Aston Villa,H,2,1,6,16,2,6,3,7,20,7,1,1,0,0,2.25,3.6,3,2.37,3.56,3.12,2020-2021
2020-12-05,Burnley,Everton,D,1,1,8,13,3,6,8,4,6,9,0,0,0,0,4,3.5,1.9,3.68,3.63,2.1,2020-2021
2020-12-05,Man City,Fulham,H,2,0,16,6,6,1,9,3,7,6,0,0,0,0,1.1,11,19,1.13,9.9,22.91,2020-2021
2020-12-05,West Ham,Man United,A,1,3,19,15,6,6,5,4,9,10,0,0,0,0,3.6,3.6,2,3.52,3.53,2.2,2020-2021
2020-12-05,Chelsea,Leeds,H,3,1,23,8,11,3,8,4,12,9,0,2,0,0,1.5,4.5,6,1.48,5.15,6.34,2020-2021
2020-12-06,West Brom,Crystal Palace,A,1,5,9,18,4,6,4,6,10,16,2,2,1,0,2.87,3.2,2.55,3.14,3.4,2.44,2020-2021
2020-12-06,Sheffield United,Leicester,A,1,2,4,13,1,4,6,5,13,6,1,3,0,0,3.8,3.5,1.95,4.14,3.67,1.96,2020-2021
2020-12-06,Tottenham,Arsenal,H,2,0,6,11,3,2,3,9,16,12,1,2,0,0,1.95,3.6,3.8,2.3,3.54,3.29,2020-2021
2020-12-06,Liverpool,Wolves,H,4,0,11,9,6,3,4,6,8,14,1,1,0,0,1.5,4.33,6.5,1.61,4.44,5.64,2020-2021
2020-12-07,Brighton,Southampton,A,1,2,12,10,4,3,4,3,12,12,3,3,0,0,2.45,3.4,2.9,2.51,3.42,3.02,2020-2021
2020-12-11,Leeds,West Ham,A,1,2,13,19,7,8,5,6,12,10,1,2,0,0,2.15,3.7,3.1,2.19,3.78,3.32,2020-2021
2020-12-12,Wolves,Aston Villa,A,0,1,16,13,7,2,5,8,23,15,2,5,0,0,2.25,3.25,3.25,2.59,3.31,2.99,2020-2021
2020-12-12,Newcastle,West Brom,H,2,1,12,13,7,3,4,3,9,12,2,3,0,0,2.45,3.2,3,2.47,3.24,3.24,2020-2021
2020-12-12,Man United,Man City,D,0,0,11,9,2,2,4,3,13,6,1,1,0,0,4.33,4.2,1.72,4.68,4.29,1.73,2020-2021
2020-12-12,Everton,Chelsea,H,1,0,9,10,4,3,6,6,10,11,2,3,0,0,4.33,4.2,1.7,4.99,4.19,1.71,2020-2021
2020-12-13,Southampton,Sheffield United,H,3,0,16,3,6,0,8,4,8,14,0,1,0,0,1.7,3.75,5,1.65,4.11,5.75,2020-2021
2020-12-13,Crystal Palace,Tottenham,D,1,1,16,14,5,6,4,7,15,11,1,1,0,0,4.5,3.9,1.72,4.33,3.93,1.85,2020-2021
2020-12-13,Fulham,Liverpool,D,1,1,10,12,5,6,6,8,9,5,3,1,0,0,9,5.5,1.3,8.51,5.36,1.38,2020-2021
2020-12-13,Arsenal,Burnley,A,0,1,18,10,6,2,13,4,5,11,2,1,1,0,1.53,4.2,6.25,1.49,4.82,6.88,2020-2021
2020-12-13,Leicester,Brighton,H,3,0,15,12,6,4,9,5,9,11,2,1,0,0,2,3.5,3.8,2.12,3.55,3.72,2020-2021
2020-12-15,Wolves,Chelsea,H,2,1,12,13,4,3,5,6,12,12,2,2,0,0,5.25,3.8,1.66,5.79,3.86,1.68,2020-2021
2020-12-15,Man City,West Brom,D,1,1,26,5,7,1,13,2,5,8,2,3,0,0,1.09,11,21,1.09,12.6,29.4,2020-2021
2020-12-16,Arsenal,Southampton,D,1,1,9,13,4,3,2,7,13,13,1,3,1,0,2.25,3.5,3.1,2.17,3.58,3.55,2020-2021
2020-12-16,Leeds,Newcastle,H,5,2,25,10,10,4,7,4,10,13,3,1,0,0,1.75,4,4.33,1.6,4.54,5.6,2020-2021
2020-12-16,Leicester,Everton,A,0,2,14,11,2,6,4,6,12,9,2,3,0,0,2.15,3.6,3.25,2.16,3.55,3.58,2020-2021
2020-12-16,Fulham,Brighton,D,0,0,9,9,4,4,1,8,15,11,1,0,0,0,2.87,3.3,2.5,3.04,3.31,2.56,2020-2021
2020-12-16,Liverpool,Tottenham,H,2,1,17,8,11,2,7,4,8,9,0,2,0,0,1.75,3.8,4.5,1.81,4.07,4.39,2020-2021
2020-12-16,West Ham,Crystal Palace,D,1,1,9,8,2,2,5,3,8,12,0,1,0,1,2.05,3.4,3.6,2.17,3.45,3.68,2020-2021
2020-12-17,Aston Villa,Burnley,D,0,0,27,6,7,4,11,1,17,19,1,1,0,0,1.75,3.8,4.5,1.85,3.86,4.47,2020-2021
2020-12-17,Sheffield United,Man United,A,2,3,12,14,6,8,6,3,17,8,3,2,0,0,7,4.6,1.44,7.88,4.75,1.45,2020-2021
2020-12-19,Crystal Palace,Liverpool,A,0,7,5,14,3,8,5,4,5,11,1,0,0,0,6.5,4.33,1.5,5.54,4.2,1.65,2020-2021
2020-12-19,Southampton,Man City,A,0,1,9,11,3,5,6,6,9,11,2,2,0,0,7,4.5,1.44,5.97,4.81,1.54,2020-2021
2020-12-19,Everton,Arsenal,H,2,1,9,13,2,2,4,3,9,9,1,3,0,0,2.45,3.5,2.8,2.75,3.45,2.72,2020-2021
2020-12-19,Newcastle,Fulham,D,1,1,12,11,5,4,2,9,7,17,1,2,0,1,2.5,3.25,2.9,2.89,3.38,2.63,2020-2021
2020-12-20,Brighton,Sheffield United,D,1,1,21,5,5,3,14,2,9,11,1,5,0,1,1.65,3.75,5.5,1.94,3.41,4.64,2020-2021
2020-12-20,Tottenham,Leicester,A,0,2,8,17,3,4,5,3,15,14,2,2,0,0,2.05,3.5,3.6,2.15,3.54,3.63,2020-2021
2020-12-20,Man United,Leeds,H,6,2,26,17,14,3,11,13,6,6,1,0,0,0,1.66,4.33,4.5,1.74,4.44,4.45,2020-2021
2020-12-20,West Brom,Aston Villa,A,0,3,1,19,1,10,1,7,14,8,1,2,1,0,3.6,3.8,1.95,5.08,4.17,1.7,2020-2021
2020-12-21,Burnley,Wolves,H,2,1,10,15,4,3,1,7,11,15,2,1,0,0,3.5,3.25,2.2,3.49,3.08,2.44,2020-2021
2020-12-21,Chelsea,West Ham,H,3,0,11,6,7,0,5,4,11,6,0,0,0,0,1.44,5,6.25,1.61,4.43,5.64,2020-2021
2020-12-26,Leicester,Man United,D,2,2,10,9,2,4,5,0,10,17,2,1,0,0,2.9,3.6,2.3,3.03,3.62,2.4,2020-2021
2020-12-26,Aston Villa,Crystal Palace,H,3,0,21,13,10,6,4,4,18,16,1,4,1,0,1.9,3.75,3.8,1.83,3.93,4.47,2020-2021
2020-12-26,Fulham,Southampton,D,0,0,10,3,1,2,6,3,15,12,2,0,0,0,3.2,3.3,2.3,2.8,3.43,2.68,2020-2021
2020-12-26,Arsenal,Chelsea,H,3,1,15,19,7,3,7,9,13,10,2,1,0,0,4,3.6,1.9,4.84,3.96,1.77,2020-2021
2020-12-26,Man City,Newcastle,H,2,0,11,7,6,2,7,3,5,12,2,2,0,0,1.11,10,19,1.13,9.55,22.04,2020-2021
2020-12-26,Sheffield United,Everton,A,0,1,10,7,2,3,6,3,11,10,2,4,0,0,4.2,3.6,1.85,3.38,3.29,2.37,2020-2021
2020-12-27,Leeds,Burnley,H,1,0,11,14,4,6,4,12,8,14,0,3,0,0,1.72,4,4.33,1.72,4.18,4.91,2020-2021
2020-12-27,West Ham,Brighton,D,2,2,11,13,4,4,5,4,6,8,0,0,0,0,2.3,3.4,3.1,2.42,3.34,3.24,2020-2021
2020-12-27,Liverpool,West Brom,D,1,1,17,5,2,3,8,3,8,5,0,1,0,0,1.11,10,19,1.13,9.46,22.33,2020-2021
2020-12-27,Wolves,Tottenham,D,1,1,11,6,6,3,9,2,20,13,4,1,0,0,3.6,3.25,2.15,3.61,3.4,2.21,2020-2021
2020-12-28,Crystal Palace,Leicester,D,1,1,4,17,1,3,2,5,10,7,0,1,0,0,3.75,3.5,2,3.4,3.49,2.27,2020-2021
2020-12-28,Chelsea,Aston Villa,D,1,1,16,10,5,2,11,4,16,3,3,1,0,0,1.61,4.2,5,1.86,4.07,4.15,2020-2021
2020-12-29,Brighton,Arsenal,A,0,1,13,11,2,3,5,4,11,4,2,0,0,0,3.25,3.5,2.2,3.85,3.56,2.08,2020-2021
2020-12-29,Burnley,Sheffield United,H,1,0,5,7,3,3,3,5,13,17,1,2,0,0,2.37,3.1,3.25,2.43,3.22,3.34,2020-2021
2020-12-29,Southampton,West Ham,D,0,0,8,8,3,3,4,3,16,15,3,1,0,0,2.1,3.6,3.4,2.05,3.65,3.84,2020-2021
2020-12-29,West Brom,Leeds,A,0,5,4,14,1,6,3,10,7,10,0,1,0,0,3.6,3.6,2,4.35,4.04,1.83,2020-2021
2020-12-29,Man United,Wolves,H,1,0,11,9,3,5,2,2,11,7,1,1,0,0,1.53,4.2,6.25,1.57,4.31,6.35,2020-2021
2020-12-30,Newcastle,Liverpool,D,0,0,8,11,2,4,5,12,9,13,2,3,0,0,12,6,1.25,10.49,6.04,1.3,2020-2021
2021-01-01,Everton,West Ham,A,0,1,10,11,2,5,5,4,9,7,2,0,0,0,2.1,3.5,3.5,2.3,3.52,3.3,2020-2021
2021-01-01,Man United,Aston Villa,H,2,1,19,5,9,5,5,10,22,10,4,0,0,0,1.72,4.2,4.2,1.75,4.13,4.74,2020-2021
2021-01-02,Tottenham,Leeds,H,3,0,20,18,7,5,3,5,15,13,2,1,1,0,1.75,4.1,4.2,1.89,4.08,3.98,2020-2021
2021-01-02,Crystal Palace,Sheffield United,H,2,0,9,7,4,2,3,6,8,18,1,3,0,0,1.95,3.5,3.9,2.14,3.28,4,2020-2021
2021-01-02,Brighton,Wolves,D,3,3,13,11,4,4,5,8,13,8,2,1,0,0,2.62,3.25,2.75,2.87,3.09,2.86,2020-2021
2021-01-02,West Brom,Arsenal,A,0,4,7,21,3,12,3,5,7,4,1,2,0,0,5.75,4,1.57,6.21,4.14,1.61,2020-2021
2021-01-03,Newcastle,Leicester,A,1,2,8,9,2,3,3,6,10,11,0,2,0,0,5.25,4.2,1.61,6.57,4.14,1.58,2020-2021
2021-01-03,Chelsea,Man City,A,1,3,9,18,2,6,5,3,11,10,3,1,0,0,3,3.7,2.2,3.5,3.59,2.18,2020-2021
2021-01-04,Southampton,Liverpool,H,1,0,7,17,3,1,1,10,5,12,1,3,0,0,5,4.33,1.61,6.16,4.92,1.52,2020-2021
2021-01-12,Sheffield United,Newcastle,H,1,0,17,7,4,3,5,2,13,12,2,3,0,1,2.45,3.1,3.1,2.34,3.23,3.5,2020-2021
2021-01-12,Burnley,Man United,A,0,1,11,13,0,7,3,4,15,13,1,2,0,0,7,4.5,1.45,7.92,5.05,1.43,2020-2021
2021-01-12,Wolves,Everton,A,1,2,12,5,3,3,6,5,6,11,2,2,0,0,2.45,3.1,3.1,2.73,2.93,3.18,2020-2021
2021-01-13,Man City,Brighton,H,1,0,16,5,6,1,8,4,4,12,0,2,0,0,1.14,8.5,16,1.18,7.99,17.46,2020-2021
2021-01-13,Tottenham,Fulham,D,1,1,15,15,6,4,6,5,13,15,1,2,0,0,1.36,5,8.5,1.66,3.85,6.19,2020-2021
2021-01-14,Arsenal,Crystal Palace,D,0,0,11,12,4,2,7,3,10,11,1,1,0,0,1.53,4,6.5,1.74,3.94,5.14,2020-2021
2021-01-16,Wolves,West Brom,A,2,3,23,12,6,5,11,0,10,14,2,1,0,0,1.6,3.5,7,1.64,3.85,6.52,2020-2021
2021-01-16,Leeds,Brighton,A,0,1,7,7,2,2,5,2,8,9,1,1,0,0,2.1,3.5,3.4,2.3,3.58,3.24,2020-2021
2021-01-16,West Ham,Burnley,H,1,0,15,10,4,2,7,4,12,9,2,1,0,0,1.8,3.5,4.75,1.79,3.73,5.11,2020-2021
2021-01-16,Fulham,Chelsea,A,0,1,10,21,3,6,1,12,11,10,2,3,1,0,6.5,4.33,1.5,6.29,4.09,1.61,2020-2021
2021-01-16,Leicester,Southampton,H,2,0,16,8,5,3,2,5,10,11,2,2,0,0,1.8,3.75,4.5,1.73,3.86,5.32,2020-2021
