Date,Home_Team,Away_Team,Full_Time_Result,Home_Full_Time_Goals,Away_Full_Time_Goals,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Home_Win_Bet365_Odds,Draw_Bet365_Odds,Away_Win_Bet365_Odds,Season
2009-09-12,Tottenham,Man United,A,1,3,11,17,7,13,3,9,16,13,3,2,0,1,3.1,3.4,2.3,2009-2010
2009-09-12,Wigan,West Ham,H,1,0,12,12,6,5,6,7,13,11,2,1,0,0,2.3,3.25,3.25,2009-2010
2009-09-13,Birmingham,Aston Villa,A,0,1,11,12,7,5,7,1,10,20,1,2,0,0,3.4,3.25,2.25,2009-2010
2009-09-13,Fulham,Everton,H,2,1,14,6,8,6,5,3,6,10,1,0,0,0,2.6,3.2,2.8,2009-2010
2009-09-19,Arsenal,Wigan,H,4,0,23,8,11,5,6,4,6,18,2,2,0,0,1.25,5.5,13,2009-2010
2009-09-19,Aston Villa,Portsmouth,H,2,0,7,17,5,12,7,5,17,12,2,0,0,0,1.4,4.2,10,2009-2010
2009-09-19,Bolton,Stoke,D,1,1,11,10,5,6,4,6,6,11,2,2,0,0,2.1,3.25,3.75,2009-2010
2009-09-19,Burnley,Sunderland,H,3,1,10,8,3,5,4,4,4,15,0,3,0,0,2.88,3.25,2.5,2009-2010
2009-09-19,Hull,Birmingham,A,0,1,16,14,11,9,10,8,15,13,0,2,0,0,2.4,3.25,3,2009-2010
2009-09-19,West Ham,Liverpool,A,2,3,8,19,5,15,4,4,13,17,3,3,0,0,6.5,4,1.53,2009-2010
2009-09-20,Chelsea,Tottenham,H,3,0,25,9,15,4,11,3,7,9,0,2,0,0,1.5,4,7,2009-2010
2009-09-20,Everton,Blackburn,H,3,0,18,7,11,4,6,2,15,18,1,2,0,0,1.8,3.3,5,2009-2010
2009-09-20,Man United,Man City,H,4,3,21,10,11,6,11,1,15,14,2,2,0,0,1.57,4,6,2009-2010
2009-09-20,Wolves,Fulham,H,2,1,12,3,4,1,3,3,14,11,1,1,0,0,2.5,3.25,2.88,2009-2010
2009-09-26,Birmingham,Bolton,A,1,2,12,10,6,4,8,4,9,17,2,1,0,0,2.2,3.25,3.4,2009-2010
2009-09-26,Blackburn,Aston Villa,H,2,1,15,10,7,5,6,5,14,11,2,3,1,0,3.1,3.25,2.38,2009-2010
2009-09-26,Fulham,Arsenal,A,0,1,18,14,12,4,4,6,14,11,4,0,0,0,6.5,4,1.53,2009-2010
2009-09-26,Liverpool,Hull,H,6,1,22,7,14,3,13,2,10,3,1,4,0,0,1.14,7.5,23,2009-2010
2009-09-26,Portsmouth,Everton,A,0,1,16,12,12,8,5,6,14,17,0,3,0,0,4.2,3.4,1.91,2009-2010
2009-09-26,Stoke,Man United,A,0,2,2,13,1,7,2,7,9,8,1,1,0,0,8.5,4.5,1.4,2009-2010
2009-09-26,Tottenham,Burnley,H,5,0,18,10,12,7,2,7,10,14,1,1,0,0,1.33,5,10,2009-2010
2009-09-26,Wigan,Chelsea,H,3,1,15,14,9,8,4,7,11,11,1,2,0,1,10,5,1.33,2009-2010
2009-09-27,Sunderland,Wolves,H,5,2,10,15,8,11,7,8,18,11,1,3,0,0,1.73,3.6,5,2009-2010
2009-09-28,Man City,West Ham,H,3,1,20,12,12,8,11,5,18,14,1,1,0,0,1.44,4.33,7.5,2009-2010
2009-10-03,Bolton,Tottenham,D,2,2,12,17,9,9,5,6,15,16,2,1,0,0,3.8,3.6,1.95,2009-2010
2009-10-03,Burnley,Birmingham,H,2,1,15,10,13,6,8,4,17,11,0,3,0,0,2.3,3.25,3.2,2009-2010
2009-10-03,Hull,Wigan,H,2,1,11,13,6,5,4,2,14,8,0,2,0,0,2.88,3.3,2.5,2009-2010
2009-10-03,Man United,Sunderland,D,2,2,17,4,9,3,14,1,11,15,2,3,0,1,1.2,6.5,15,2009-2010
2009-10-03,Wolves,Portsmouth,A,0,1,11,12,5,8,8,6,8,12,1,2,0,0,2,3.4,3.8,2009-2010
2009-10-04,Arsenal,Blackburn,H,6,2,24,7,18,7,8,1,9,10,1,1,0,0,1.2,6.5,15,2009-2010
2009-10-04,Chelsea,Liverpool,H,2,0,12,12,8,3,5,8,14,17,1,1,0,0,2.1,3.3,3.6,2009-2010
2009-10-04,Everton,Stoke,D,1,1,24,8,17,6,11,4,5,15,1,3,0,0,1.57,4,6,2009-2010
2009-10-04,West Ham,Fulham,D,2,2,20,10,10,6,8,4,12,9,3,2,0,1,2.2,3.25,3.4,2009-2010
2009-10-05,Aston Villa,Man City,D,1,1,12,9,6,7,6,6,10,8,1,2,0,0,2.75,3.25,2.63,2009-2010
2009-10-17,Arsenal,Birmingham,H,3,1,20,3,12,2,7,3,8,16,1,2,0,0,1.17,7,19,2009-2010
2009-10-17,Aston Villa,Chelsea,H,2,1,7,21,5,13,6,9,19,13,2,1,0,0,4.5,3.6,1.8,2009-2010
2009-10-17,Everton,Wolves,D,1,1,13,12,5,6,6,5,6,15,1,3,0,1,1.44,4.2,6.5,2009-2010
2009-10-17,Man United,Bolton,H,2,1,13,15,7,7,13,1,15,8,0,1,0,0,1.2,5.5,13,2009-2010
2009-10-17,Portsmouth,Tottenham,A,1,2,23,9,13,4,10,9,14,13,3,3,1,1,4.5,3.5,1.83,2009-2010
2009-10-17,Stoke,West Ham,H,2,1,11,12,4,11,5,6,16,13,3,3,0,0,2.1,3.3,3.6,2009-2010
2009-10-17,Sunderland,Liverpool,H,1,0,13,15,7,6,1,7,20,17,2,1,0,0,4.2,3.4,1.91,2009-2010
2009-10-18,Blackburn,Burnley,H,3,2,12,9,6,5,3,2,18,14,3,3,0,0,1.73,3.6,5,2009-2010
2009-10-18,Wigan,Man City,D,1,1,13,5,7,4,6,6,15,11,2,1,0,1,5,3.6,1.73,2009-2010
2009-10-19,Fulham,Hull,H,2,0,17,5,11,2,7,4,13,15,1,1,0,0,1.67,3.6,5.5,2009-2010
2009-10-24,Birmingham,Sunderland,H,2,1,19,14,13,6,6,8,9,14,3,1,0,0,2.9,3.25,2.5,2009-2010
2009-10-24,Burnley,Wigan,A,1,3,12,13,9,8,7,4,12,11,2,0,0,0,2.5,3.3,2.88,2009-2010
2009-10-24,Chelsea,Blackburn,H,5,0,26,5,15,2,8,0,8,10,0,1,0,0,1.2,6.5,15,2009-2010
2009-10-24,Hull,Portsmouth,D,0,0,7,8,3,2,6,6,16,23,2,1,0,0,2.6,3.2,2.8,2009-2010
2009-10-24,Tottenham,Stoke,A,0,1,22,8,12,2,7,1,8,18,0,3,0,0,1.44,4.33,7.5,2009-2010
2009-10-24,Wolves,Aston Villa,D,1,1,8,12,4,8,8,3,10,16,1,2,0,0,3.5,3.2,2.2,2009-2010
2009-10-25,Bolton,Everton,H,3,2,12,17,8,12,4,4,14,15,3,1,0,0,2.63,3.25,2.75,2009-2010
2009-10-25,Liverpool,Man United,H,2,0,11,7,6,5,5,1,20,11,2,3,1,1,3,3.25,2.4,2009-2010
2009-10-25,Man City,Fulham,D,2,2,20,11,7,5,14,2,11,12,0,2,0,0,1.44,4.2,8,2009-2010
2009-10-25,West Ham,Arsenal,D,2,2,15,15,9,10,6,8,17,15,3,2,1,0,7,4.2,1.5,2009-2010
2009-10-31,Arsenal,Tottenham,H,3,0,18,7,12,5,6,2,10,10,1,1,0,0,1.57,4,6,2009-2010
2009-10-31,Bolton,Chelsea,A,0,4,15,27,6,17,8,10,9,7,1,1,1,0,9,4.33,1.4,2009-2010
2009-10-31,Burnley,Hull,H,2,0,11,8,5,6,8,1,12,13,1,4,0,1,1.91,3.4,4.2,2009-2010
2009-10-31,Everton,Aston Villa,D,1,1,9,13,4,8,3,4,15,16,1,3,1,1,2.5,3.25,2.88,2009-2010
2009-10-31,Fulham,Liverpool,H,3,1,10,6,6,3,2,2,10,13,1,0,0,2,4.2,3.4,1.91,2009-2010
2009-10-31,Man United,Blackburn,H,2,0,20,2,11,1,7,2,10,21,0,2,0,0,1.17,7,19,2009-2010
2009-10-31,Portsmouth,Wigan,H,4,0,21,8,11,3,7,4,11,10,0,1,0,0,2.38,3.3,3,2009-2010
2009-10-31,Stoke,Wolves,D,2,2,10,11,5,7,4,3,13,15,0,3,0,0,1.91,3.4,4.2,2009-2010
2009-10-31,Sunderland,West Ham,D,2,2,17,15,7,9,7,3,12,16,3,3,1,1,2,3.3,4,2009-2010
2009-11-01,Birmingham,Man City,D,0,0,7,14,4,6,4,8,9,8,3,1,1,0,4.33,3.6,1.83,2009-2010
2009-11-04,West Ham,Aston Villa,H,2,1,14,13,7,10,6,14,11,12,2,4,0,1,2.75,3.3,2.63,2009-2010
2009-11-07,Aston Villa,Bolton,H,5,1,19,13,13,9,8,1,17,16,1,4,0,0,1.8,3.5,4.75,2009-2010
2009-11-07,Blackburn,Portsmouth,H,3,1,10,9,6,3,8,5,12,18,3,3,0,0,2.1,3.4,3.6,2009-2010
2009-11-07,Man City,Burnley,D,3,3,13,6,8,4,8,3,10,11,1,3,0,0,1.33,4.75,11,2009-2010
2009-11-07,Tottenham,Sunderland,H,2,0,10,14,8,6,4,4,10,19,1,2,0,0,1.57,3.75,6.5,2009-2010
2009-11-07,Wolves,Arsenal,A,1,4,8,11,6,6,4,4,9,15,2,3,0,0,9,4.75,1.36,2009-2010
2009-11-08,Chelsea,Man United,H,1,0,12,21,9,10,0,7,13,15,3,3,0,0,2,3.25,4,2009-2010
2009-11-08,Hull,Stoke,H,2,1,16,7,8,4,4,2,12,14,1,4,0,1,2.75,3.3,2.6,2009-2010
2009-11-08,West Ham,Everton,A,1,2,16,9,7,6,5,4,12,18,0,5,0,0,2.4,3.3,3,2009-2010
2009-11-08,Wigan,Fulham,D,1,1,19,7,12,3,10,6,15,16,2,1,0,0,2.25,3.2,3.4,2009-2010
2009-11-09,Liverpool,Birmingham,D,2,2,27,5,14,2,11,1,7,9,1,2,0,0,1.36,4.5,10,2009-2010
2009-11-21,Birmingham,Fulham,H,1,0,3,12,2,5,0,7,7,9,1,0,0,0,2.5,3.2,2.9,2009-2010
2009-11-21,Burnley,Aston Villa,D,1,1,11,10,6,6,6,8,6,12,0,3,0,0,3.4,3.3,2.2,2009-2010
2009-11-21,Chelsea,Wolves,H,4,0,23,4,14,3,5,6,4,14,0,2,0,0,1.17,7,19,2009-2010
2009-11-21,Hull,West Ham,D,3,3,12,16,8,10,5,3,9,17,0,4,1,0,2.88,3.25,2.5,2009-2010
2009-11-21,Liverpool,Man City,D,2,2,10,9,6,6,7,3,9,13,2,0,0,0,1.91,3.4,4.2,2009-2010
2009-11-21,Man United,Everton,H,3,0,18,11,11,5,13,4,4,6,2,2,0,0,1.4,4.5,9,2009-2010
2009-11-21,Sunderland,Arsenal,H,1,0,5,9,1,3,2,6,10,10,2,1,0,0,6,3.75,1.62,2009-2010
2009-11-22,Bolton,Blackburn,A,0,2,15,15,8,11,7,7,13,12,3,1,0,0,2.25,3.2,3.4,2009-2010
2009-11-22,Stoke,Portsmouth,H,1,0,9,14,3,7,4,4,15,13,1,2,0,0,2.1,3.4,3.5,2009-2010
2009-11-22,Tottenham,Wigan,H,9,1,28,11,16,5,10,5,9,11,1,0,0,0,1.44,4.33,8,2009-2010
2009-11-25,Fulham,Blackburn,H,3,0,8,7,4,3,3,3,7,13,0,0,0,0,2.1,3.3,3.6,2009-2010
2009-11-25,Hull,Everton,H,3,2,8,5,7,3,3,4,18,23,1,4,0,0,3.5,3.3,2.15,2009-2010
2009-11-28,Aston Villa,Tottenham,D,1,1,12,23,4,17,7,9,10,8,0,1,0,0,2.5,3.25,2.88,2009-2010
2009-11-28,Blackburn,Stoke,D,0,0,11,7,4,4,9,2,12,11,1,2,0,0,1.91,3.4,4.2,2009-2010
2009-11-28,Fulham,Bolton,D,1,1,12,4,7,2,8,5,7,21,1,6,0,0,1.91,3.5,4.2,2009-2010
2009-11-28,Man City,Hull,D,1,1,17,8,7,3,8,2,14,12,1,3,0,0,1.29,5.5,11,2009-2010
2009-11-28,Portsmouth,Man United,A,1,4,20,12,12,8,4,8,16,10,4,3,0,0,10,4.5,1.36,2009-2010
2009-11-28,West Ham,Burnley,H,5,3,9,16,5,10,1,7,10,15,2,1,0,1,1.8,3.6,4.5,2009-2010
2009-11-28,Wigan,Sunderland,H,1,0,16,9,10,4,5,8,12,14,0,3,0,0,2.4,3.4,2.9,2009-2010
2009-11-29,Arsenal,Chelsea,A,0,3,5,7,3,5,4,3,17,12,2,2,0,0,2.7,3.2,2.7,2009-2010
2009-11-29,Everton,Liverpool,A,0,2,12,9,8,7,6,4,15,12,1,0,0,0,3.5,3.4,2.1,2009-2010
2009-11-29,Wolves,Birmingham,A,0,1,8,13,2,7,6,5,14,8,2,1,0,0,2.4,3.2,3.1,2009-2010
2009-12-05,Arsenal,Stoke,H,2,0,12,5,8,4,10,2,3,7,0,0,0,0,1.29,5,13,2009-2010
2009-12-05,Aston Villa,Hull,H,3,0,13,5,6,1,9,3,15,15,4,3,0,0,1.44,4.33,7.5,2009-2010
2009-12-05,Blackburn,Liverpool,D,0,0,9,15,3,11,1,8,15,9,1,0,0,0,5.25,3.8,1.67,2009-2010
2009-12-05,Man City,Chelsea,H,2,1,13,10,8,6,9,6,12,17,1,6,0,0,4.2,3.4,1.91,2009-2010
2009-12-05,Portsmouth,Burnley,H,2,0,9,14,4,8,5,5,16,14,4,2,0,0,1.91,3.4,4.2,2009-2010
2009-12-05,West Ham,Man United,A,0,4,11,18,7,11,2,8,8,16,0,1,0,0,8,4.2,1.44,2009-2010
2009-12-05,Wigan,Birmingham,A,2,3,18,10,7,9,2,2,14,8,2,0,0,0,2.1,3.3,3.6,2009-2010
2009-12-05,Wolves,Bolton,H,2,1,12,17,11,10,11,10,9,16,2,1,0,0,2.38,3.25,3.1,2009-2010
2009-12-06,Everton,Tottenham,D,2,2,15,19,6,11,1,6,11,18,4,4,0,0,2.88,3.25,2.5,2009-2010
2009-12-06,Fulham,Sunderland,H,1,0,16,8,5,5,4,8,9,12,1,2,0,0,2.1,3.3,3.6,2009-2010
2009-12-12,Birmingham,West Ham,H,1,0,16,14,9,7,11,7,12,13,3,4,0,1,2.1,3.3,3.6,2009-2010
2009-12-12,Bolton,Man City,D,3,3,12,14,8,6,5,9,11,9,3,3,0,1,4.5,3.6,1.8,2009-2010
2009-12-12,Burnley,Fulham,D,1,1,10,12,8,6,7,4,12,8,0,2,0,0,2.63,3.25,2.75,2009-2010
2009-12-12,Chelsea,Everton,D,3,3,25,10,13,7,7,1,13,17,0,1,0,0,1.25,5.5,15,2009-2010
2009-12-12,Hull,Blackburn,D,0,0,9,14,7,9,3,4,14,19,1,2,0,0,2.8,3.25,2.6,2009-2010
2009-12-12,Man United,Aston Villa,A,0,1,16,8,9,5,9,4,4,14,1,1,0,0,1.5,4.2,7,2009-2010
2009-12-12,Stoke,Wigan,D,2,2,14,11,5,8,5,3,19,8,5,1,0,0,2.1,3.3,3.6,2009-2010
2009-12-12,Sunderland,Portsmouth,D,1,1,16,9,9,6,9,6,12,14,4,3,0,1,1.8,3.5,4.75,2009-2010
2009-12-12,Tottenham,Wolves,A,0,1,18,3,10,3,1,5,8,13,0,5,0,0,1.25,5.75,13,2009-2010
2009-12-13,Liverpool,Arsenal,A,1,2,6,7,3,5,3,4,19,16,3,3,0,0,2.2,3.3,3.4,2009-2010
2009-12-15,Birmingham,Blackburn,H,2,1,13,8,6,4,6,7,8,16,2,2,0,0,2.2,3.25,3.4,2009-2010
2009-12-15,Bolton,West Ham,H,3,1,23,9,12,6,8,4,10,7,4,1,0,0,2.25,3.3,3.25,2009-2010
2009-12-15,Man United,Wolves,H,3,0,12,4,9,1,8,3,11,11,1,1,0,0,1.17,7,19,2009-2010
2009-12-15,Sunderland,Aston Villa,A,0,2,15,11,5,4,7,1,16,14,2,2,1,0,2.88,3.3,2.5,2009-2010
2009-12-16,Burnley,Arsenal,D,1,1,8,17,3,9,3,6,11,11,2,0,0,0,7,4.2,1.5,2009-2010
2009-12-16,Chelsea,Portsmouth,H,2,1,21,7,8,3,11,2,11,11,0,0,0,0,1.14,8,19,2009-2010
2009-12-16,Liverpool,Wigan,H,2,1,12,8,7,5,13,0,12,11,1,1,0,0,1.33,4.75,11,2009-2010
2009-12-16,Tottenham,Man City,H,3,0,19,9,7,5,5,6,10,8,2,3,0,0,2.25,3.3,3.25,2009-2010
2009-12-19,Arsenal,Hull,H,3,0,18,6,9,2,8,0,9,14,1,5,0,0,1.22,6,15,2009-2010
2009-12-19,Aston Villa,Stoke,H,1,0,17,13,8,5,3,4,9,12,0,1,0,0,1.4,4.33,9,2009-2010
2009-12-19,Blackburn,Tottenham,A,0,2,13,7,9,2,5,0,7,6,0,1,0,0,3.3,3.4,2.2,2009-2010
2009-12-19,Fulham,Man United,H,3,0,10,16,7,4,5,2,10,9,0,1,0,0,6.5,4,1.57,2009-2010
2009-12-19,Man City,Sunderland,H,4,3,11,7,5,5,6,4,13,8,2,2,0,1,1.53,4,7,2009-2010
2009-12-19,Portsmouth,Liverpool,H,2,0,14,7,6,3,8,10,7,12,3,3,0,1,5.5,4,1.62,2009-2010
2009-12-20,Everton,Birmingham,D,1,1,19,2,7,1,6,4,8,9,0,3,0,0,1.83,3.5,4.5,2009-2010
2009-12-20,West Ham,Chelsea,D,1,1,6,20,5,6,5,5,17,16,4,3,0,0,8.5,4.5,1.4,2009-2010
2009-12-20,Wolves,Burnley,H,2,0,12,10,12,6,5,5,17,9,2,1,0,0,2.1,3.3,3.6,2009-2010
2009-12-26,Birmingham,Chelsea,D,0,0,11,27,4,12,7,11,6,17,1,2,0,1,6.5,3.8,1.57,2009-2010
2009-12-26,Burnley,Bolton,D,1,1,15,11,7,5,8,2,11,12,0,0,0,0,2.38,3.3,3,2009-2010
2009-12-26,Fulham,Tottenham,D,0,0,15,6,6,1,4,2,19,12,1,0,0,0,2.8,3.4,2.5,2009-2010
2009-12-26,Liverpool,Wolves,H,2,0,14,6,10,2,7,1,9,10,0,1,0,1,1.29,5.5,11,2009-2010
2009-12-26,Man City,Stoke,H,2,0,12,7,6,3,7,6,13,10,0,2,0,0,1.44,4.33,7.5,2009-2010
2009-12-26,Sunderland,Everton,D,1,1,10,12,6,4,4,12,17,16,1,3,0,0,2.38,3.3,3,2009-2010
2009-12-26,West Ham,Portsmouth,H,2,0,13,11,5,7,6,4,10,19,0,3,0,0,2.1,3.3,3.6,2009-2010
2009-12-26,Wigan,Blackburn,D,1,1,14,8,8,3,6,2,10,18,1,4,0,0,2.3,3.25,3.2,2009-2010
2009-12-27,Arsenal,Aston Villa,H,3,0,19,7,12,3,10,4,14,18,1,3,0,0,1.73,3.5,5,2009-2010
2009-12-27,Hull,Man United,A,1,3,12,19,6,11,5,6,13,17,0,2,0,0,8,4.2,1.4,2009-2010
2009-12-28,Blackburn,Sunderland,D,2,2,21,13,11,8,4,4,6,20,1,4,0,0,2.1,3.3,3.6,2009-2010
2009-12-28,Chelsea,Fulham,H,2,1,18,3,11,3,10,6,9,13,1,1,0,0,1.36,4.5,10,2009-2010
2009-12-28,Everton,Burnley,H,2,0,24,12,16,9,10,6,7,18,1,5,0,1,1.57,3.8,6.5,2009-2010
2009-12-28,Stoke,Birmingham,A,0,1,12,9,6,5,10,7,15,13,2,3,0,0,2.4,3.25,3,2009-2010
2009-12-28,Tottenham,West Ham,H,2,0,21,3,9,2,9,3,9,14,2,3,0,0,1.44,4.2,8,2009-2010
2009-12-28,Wolves,Man City,A,0,3,11,12,6,5,8,3,16,11,3,2,0,0,4.5,3.6,1.8,2009-2010
2009-12-29,Aston Villa,Liverpool,A,0,1,11,12,7,9,8,10,13,11,1,1,0,0,2.8,3.25,2.6,2009-2010
2009-12-29,Bolton,Hull,D,2,2,16,12,6,7,8,8,14,18,1,2,0,0,1.8,3.6,4.75,2009-2010
2009-12-30,Man United,Wigan,H,5,0,23,11,16,6,7,3,6,11,0,1,0,0,1.2,6.5,15,2009-2010
2009-12-30,Portsmouth,Arsenal,A,1,4,10,14,6,10,2,10,14,3,2,0,0,0,6.5,4,1.53,2009-2010
2010-01-05,Stoke,Fulham,H,3,2,11,14,9,7,8,10,13,7,1,0,0,0,2.63,3.25,2.75,2009-2010
2010-01-09,Arsenal,Everton,D,2,2,6,9,5,5,6,8,10,11,1,1,0,0,1.4,4.5,8.5,2009-2010
2010-01-09,Birmingham,Man United,D,1,1,6,14,5,10,2,12,10,13,2,1,0,1,6.5,3.6,1.62,2009-2010
2010-01-11,Man City,Blackburn,H,4,1,12,8,6,3,4,3,6,10,1,1,0,0,1.44,4.33,8,2009-2010
2010-01-16,Chelsea,Sunderland,H,7,2,23,7,13,3,15,1,4,10,0,1,0,0,1.22,6,15,2009-2010
2010-01-16,Everton,Man City,H,2,0,13,8,6,4,11,3,14,14,0,0,0,0,2.88,3.25,2.5,2009-2010
2010-01-16,Man United,Burnley,H,3,0,24,11,11,5,7,1,12,7,0,0,0,0,1.17,7,17,2009-2010
2010-01-16,Stoke,Liverpool,D,1,1,6,4,5,3,10,0,14,10,1,2,0,0,3.5,3.2,2.2,2009-2010
2010-01-16,Tottenham,Hull,D,0,0,25,8,18,2,14,1,14,11,4,2,0,0,1.25,6,11,2009-2010
2010-01-16,Wolves,Wigan,A,0,2,9,20,4,14,4,3,14,16,4,3,1,1,2.3,3.25,3.2,2009-2010
2010-01-17,Aston Villa,West Ham,D,0,0,17,8,10,3,16,4,7,12,1,3,0,0,1.53,3.8,7,2009-2010
2010-01-17,Blackburn,Fulham,H,2,0,11,14,7,9,3,6,14,9,1,3,0,0,2.4,3.25,3,2009-2010
2010-01-17,Bolton,Arsenal,A,0,2,12,14,6,9,2,4,13,5,1,2,0,0,6.5,4,1.53,2009-2010
2010-01-20,Arsenal,Bolton,H,4,2,20,7,14,4,9,3,16,17,1,2,0,0,1.22,5.5,17,2009-2010
