Date,Home_Team,Away_Team,Full_Time_Result,Home_Full_Time_Goals,Away_Full_Time_Goals,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Home_Win_Bet365_Odds,Draw_Bet365_Odds,Away_Win_Bet365_Odds,Season
2009-08-15,Aston Villa,Wigan,A,0,2,11,14,5,7,4,6,15,14,2,2,0,0,1.67,3.6,5.5,2009-2010
2009-08-15,Blackburn,Man City,A,0,2,17,8,9,5,5,4,12,9,2,1,0,0,3.6,3.25,2.1,2009-2010
2009-08-15,Bolton,Sunderland,A,0,1,11,20,3,13,4,7,16,10,2,1,0,0,2.25,3.25,3.25,2009-2010
2009-08-15,Chelsea,Hull,H,2,1,26,7,12,3,12,4,13,15,1,2,0,0,1.17,6.5,21,2009-2010
2009-08-15,Everton,Arsenal,A,1,6,8,15,5,9,4,9,11,13,0,0,0,0,3.2,3.25,2.3,2009-2010
2009-08-15,Portsmouth,Fulham,A,0,1,16,9,4,3,6,4,11,18,3,2,0,0,2.63,3.2,2.75,2009-2010
2009-08-15,Stoke,Burnley,H,2,0,12,9,5,5,3,6,15,10,2,2,0,0,1.91,3.3,4.33,2009-2010
2009-08-15,Wolves,West Ham,A,0,2,19,16,11,13,8,6,9,5,0,0,0,0,2.63,3.3,2.7,2009-2010
2009-08-16,Man United,Birmingham,H,1,0,26,6,17,4,13,2,13,7,1,1,0,0,1.2,6,17,2009-2010
2009-08-16,Tottenham,Liverpool,H,2,1,17,6,11,3,6,5,14,16,3,3,0,0,3.2,3.25,2.3,2009-2010
2009-08-18,Sunderland,Chelsea,A,1,3,4,20,3,9,1,14,14,10,2,2,0,0,6.5,4,1.53,2009-2010
2009-08-18,Wigan,Wolves,A,0,1,18,9,5,3,4,4,8,21,0,3,0,0,1.73,3.6,5.25,2009-2010
2009-08-19,Birmingham,Portsmouth,H,1,0,9,9,5,4,4,5,11,20,0,5,0,0,2,3.3,4,2009-2010
2009-08-19,Burnley,Man United,H,1,0,8,18,2,9,1,12,8,12,2,1,0,0,9.5,5,1.33,2009-2010
2009-08-19,Hull,Tottenham,A,1,5,9,18,7,12,6,5,23,13,3,2,0,0,3.75,3.5,2,2009-2010
2009-08-19,Liverpool,Stoke,H,4,0,18,6,13,3,11,5,10,9,0,1,0,0,1.25,5.5,13,2009-2010
2009-08-22,Arsenal,Portsmouth,H,4,1,19,9,16,4,8,4,9,10,1,0,0,0,1.17,7,19,2009-2010
2009-08-22,Birmingham,Stoke,D,0,0,8,13,6,3,3,3,8,13,0,3,0,0,2.3,3.2,3.25,2009-2010
2009-08-22,Hull,Bolton,H,1,0,12,20,5,10,4,12,19,19,3,2,0,0,2.6,3.25,2.8,2009-2010
2009-08-22,Man City,Wolves,H,1,0,16,10,11,2,5,6,7,11,0,1,0,0,1.33,4.5,12,2009-2010
2009-08-22,Sunderland,Blackburn,H,2,1,8,18,5,5,0,10,12,14,2,1,0,0,2.1,3.25,3.75,2009-2010
2009-08-22,Wigan,Man United,A,0,5,16,16,7,13,3,5,11,8,2,2,0,0,6.5,4,1.53,2009-2010
2009-08-23,Burnley,Everton,H,1,0,8,17,4,11,3,7,11,13,1,0,0,0,3.4,3.3,2.2,2009-2010
2009-08-23,Fulham,Chelsea,A,0,2,4,12,1,4,4,7,11,10,0,0,0,0,6.5,3.8,1.57,2009-2010
2009-08-23,West Ham,Tottenham,A,1,2,17,17,8,10,4,8,13,11,2,1,0,0,3.1,3.25,2.38,2009-2010
2009-08-24,Liverpool,Aston Villa,A,1,3,21,7,12,4,10,4,15,11,3,2,0,0,1.44,4.2,8,2009-2010
2009-08-29,Blackburn,West Ham,D,0,0,19,11,9,5,5,2,13,18,1,3,0,0,2.2,3.3,3.5,2009-2010
2009-08-29,Bolton,Liverpool,A,2,3,8,26,5,14,5,11,14,7,3,1,1,0,7,4,1.53,2009-2010
2009-08-29,Chelsea,Burnley,H,3,0,27,3,17,0,10,1,7,5,0,1,0,0,1.14,8,21,2009-2010
2009-08-29,Man United,Arsenal,H,2,1,10,9,4,3,6,5,21,15,3,6,0,0,2.2,3.3,3.5,2009-2010
2009-08-29,Stoke,Sunderland,H,1,0,13,9,7,6,10,10,9,8,0,2,0,0,2.38,3.25,3.2,2009-2010
2009-08-29,Tottenham,Birmingham,H,2,1,20,11,14,6,7,3,12,10,2,2,0,0,1.36,4.75,9,2009-2010
2009-08-29,Wolves,Hull,D,1,1,24,5,17,4,8,2,11,15,0,2,0,0,2.1,3.3,3.6,2009-2010
2009-08-30,Aston Villa,Fulham,H,2,0,9,6,4,3,9,4,9,9,1,2,0,0,1.73,3.6,5.25,2009-2010
2009-08-30,Everton,Wigan,H,2,1,26,12,14,7,12,5,11,24,1,5,0,0,1.73,3.6,5.25,2009-2010
2009-08-30,Portsmouth,Man City,A,0,1,11,12,6,8,3,11,12,7,2,1,0,0,6.5,3.8,1.57,2009-2010
2009-09-12,Blackburn,Wolves,H,3,1,13,9,10,5,10,6,13,16,1,2,0,0,1.83,3.5,4.5,2009-2010
2009-09-12,Liverpool,Burnley,H,4,0,27,6,16,3,7,5,8,10,0,2,0,0,1.2,6.5,15,2009-2010
2009-09-12,Man City,Arsenal,H,4,2,10,19,6,9,3,12,13,12,3,2,0,0,2.88,3.25,2.5,2009-2010
2009-09-12,Portsmouth,Bolton,A,2,3,21,14,11,6,7,5,17,17,2,0,0,0,2.6,3.2,2.8,2009-2010
2009-09-12,Stoke,Chelsea,A,1,2,4,18,2,10,4,14,13,11,3,3,0,0,9,4.5,1.4,2009-2010
2009-09-12,Sunderland,Hull,H,4,1,7,6,4,5,7,8,18,15,2,2,0,0,1.75,3.5,5,2009-2010
