Date,Home_Team,Away_Team,Full_Time_Result,Home_Full_Time_Goals,Away_Full_Time_Goals,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Home_Bet365_Odds,Draw_Bet365_Odds,Away_Bet365_Odds,Home_Pinnacle_Odds,Draw_Pinnacle_Odds,Away_Pinnacle_Odds,Season
2018-08-10,Man United,Leicester,H,2,1,8,13,6,4,2,5,11,8,2,1,0,0,1.57,3.9,7.5,1.55,4.07,7.69,2018-2019
2018-08-11,Bournemouth,Cardiff,H,2,0,12,10,4,1,7,4,11,9,1,1,0,0,1.9,3.6,4.5,1.88,3.61,4.7,2018-2019
2018-08-11,Fulham,Crystal Palace,A,0,2,15,10,6,9,5,5,9,11,1,2,0,0,2.5,3.4,3,2.62,3.38,2.9,2018-2019
2018-08-11,Huddersfield,Chelsea,A,0,3,6,13,1,4,2,5,9,8,2,1,0,0,6.5,4,1.61,7.24,3.95,1.58,2018-2019
2018-08-11,Newcastle,Tottenham,A,1,2,15,15,2,5,3,5,11,12,2,2,0,0,3.9,3.5,2.04,4.74,3.53,1.89,2018-2019
2018-08-11,Watford,Brighton,H,2,0,19,6,5,0,8,2,10,16,2,2,0,0,2.37,3.2,3.4,2.58,3.08,3.22,2018-2019
2018-08-11,Wolves,Everton,D,2,2,11,6,4,5,3,6,8,7,0,1,0,1,2.37,3.3,3.3,2.44,3.23,3.32,2018-2019
2018-08-12,Arsenal,Man City,A,0,2,9,17,3,8,2,9,11,14,2,2,0,0,4,3.8,1.95,4.43,4.13,1.81,2018-2019
2018-08-12,Liverpool,West Ham,H,4,0,18,5,8,2,5,4,14,9,1,2,0,0,1.25,6.5,14,1.25,6.95,12,2018-2019
2018-08-12,Southampton,Burnley,D,0,0,18,16,3,6,8,5,10,9,0,1,0,0,1.85,3.5,5,2.03,3.19,4.65,2018-2019
2018-08-18,Cardiff,Newcastle,D,0,0,12,12,1,6,5,5,14,16,2,2,0,1,3.25,3.1,2.54,3.27,3.21,2.47,2018-2019
2018-08-18,Chelsea,Arsenal,H,3,2,24,15,11,6,5,1,12,9,0,2,0,0,1.8,4,4.5,1.83,3.84,4.64,2018-2019
2018-08-18,Everton,Southampton,H,2,1,13,15,7,4,2,5,8,20,0,5,0,0,1.9,3.5,4.75,1.84,3.63,4.92,2018-2019
2018-08-18,Leicester,Wolves,H,2,0,6,11,2,3,1,9,10,8,2,1,1,0,2.04,3.5,3.9,2.14,3.41,3.81,2018-2019
2018-08-18,Tottenham,Fulham,H,3,1,25,10,11,3,5,2,9,5,0,0,0,0,1.28,6,12,1.27,6.5,11.96,2018-2019
2018-08-18,West Ham,Bournemouth,A,1,2,11,12,5,5,6,4,14,10,6,2,0,0,2.1,3.6,3.7,2.1,3.6,3.74,2018-2019
2018-08-19,Brighton,Man United,H,3,2,6,9,3,3,3,5,16,13,1,1,0,0,5.5,3.6,1.75,5.9,3.7,1.71,2018-2019
2018-08-19,Burnley,Watford,A,1,3,8,9,3,6,5,2,8,19,1,2,0,0,2.45,3.1,3.4,2.48,3.11,3.36,2018-2019
2018-08-19,Man City,Huddersfield,H,6,1,32,5,14,1,10,3,9,4,0,2,0,0,1.1,13,26,1.08,13.93,36.05,2018-2019
2018-08-20,Crystal Palace,Liverpool,A,0,2,8,16,2,6,6,7,6,13,1,1,1,0,7,5,1.44,8.01,5.28,1.41,2018-2019
2018-08-25,Arsenal,West Ham,H,3,1,17,13,10,5,10,2,16,13,1,3,0,0,1.36,5.5,9,1.37,5.65,8.67,2018-2019
2018-08-25,Bournemouth,Everton,D,2,2,17,11,5,3,6,2,12,10,0,3,1,1,2.62,3.6,2.75,2.68,3.51,2.75,2018-2019
2018-08-25,Huddersfield,Cardiff,D,0,0,5,14,1,4,7,7,8,10,0,1,1,0,2.37,3,3.7,2.46,3.03,3.5,2018-2019
2018-08-25,Liverpool,Brighton,H,1,0,22,6,8,2,8,5,8,14,1,1,0,0,1.16,8.5,19,1.15,9.48,22,2018-2019
2018-08-25,Southampton,Leicester,A,1,2,11,8,5,5,10,3,13,11,1,1,1,0,2.45,3.2,3.25,2.35,3.28,3.44,2018-2019
2018-08-25,Wolves,Man City,D,1,1,11,18,2,6,5,9,13,8,1,2,0,0,11,6.5,1.28,12.01,5.82,1.3,2018-2019
2018-08-26,Fulham,Burnley,H,4,2,25,12,12,2,6,4,11,8,2,1,0,0,2,3.4,4.33,2.26,3.23,3.71,2018-2019
2018-08-26,Newcastle,Chelsea,A,1,2,6,15,2,3,4,5,16,8,3,1,0,0,5.75,4,1.66,6.66,4.25,1.57,2018-2019
2018-08-26,Watford,Crystal Palace,H,2,1,13,9,5,3,6,3,14,11,4,2,0,0,2.6,3.25,3,2.37,3.37,3.3,2018-2019
2018-08-27,Man United,Tottenham,A,0,3,23,9,5,5,5,2,11,16,2,4,0,0,2.62,3.3,2.9,2.62,3.35,2.93,2018-2019
2018-09-01,Brighton,Fulham,D,2,2,15,10,5,5,7,1,12,14,3,3,0,0,2.3,3.4,3.4,2.17,3.52,3.61,2018-2019
2018-09-01,Chelsea,Bournemouth,H,2,0,24,8,6,1,7,6,10,7,2,2,0,0,1.3,6,11,1.32,5.98,10.48,2018-2019
2018-09-01,Crystal Palace,Southampton,A,0,2,20,19,6,6,7,4,11,12,1,1,0,0,2,3.5,4.2,2.58,3.18,3.11,2018-2019
2018-09-01,Everton,Huddersfield,D,1,1,11,9,1,6,4,3,13,14,3,3,0,0,1.53,4.2,7.5,1.57,3.96,7.47,2018-2019
2018-09-01,Leicester,Liverpool,A,1,2,12,10,5,4,4,4,9,12,3,2,0,0,7.5,5,1.44,8.17,4.75,1.45,2018-2019
2018-09-01,Man City,Newcastle,H,2,1,24,3,8,2,4,0,5,13,0,0,0,0,1.11,11,26,1.12,10.43,29.28,2018-2019
2018-09-01,West Ham,Wolves,A,0,1,13,15,3,6,4,4,10,11,2,1,0,0,2.6,3.4,2.87,2.6,3.26,3.02,2018-2019
2018-09-02,Burnley,Man United,A,0,2,9,21,2,9,2,5,7,13,2,3,0,1,6,3.75,1.7,6.72,4.02,1.6,2018-2019
2018-09-02,Cardiff,Arsenal,A,2,3,14,17,3,11,3,9,12,14,3,4,0,0,6.5,4.33,1.57,6.34,4.47,1.56,2018-2019
2018-09-02,Watford,Tottenham,H,2,1,7,11,3,2,3,10,9,8,2,1,0,0,5.5,4.2,1.64,5.6,3.97,1.69,2018-2019
2018-09-15,Bournemouth,Leicester,H,4,2,10,14,5,8,4,6,13,15,3,2,0,1,2.45,3.5,3,2.46,3.35,3.17,2018-2019
2018-09-15,Chelsea,Cardiff,H,4,1,18,6,7,2,5,4,8,10,0,0,0,0,1.18,8,19,1.14,8.85,23,2018-2019
2018-09-15,Huddersfield,Crystal Palace,A,0,1,15,7,2,2,5,3,11,17,1,2,0,0,3.3,3.1,2.5,3.47,3.22,2.37,2018-2019
2018-09-15,Man City,Fulham,H,3,0,28,9,9,3,10,4,7,7,0,0,0,0,1.12,10,26,1.1,12.75,25,2018-2019
2018-09-15,Newcastle,Arsenal,A,1,2,4,12,2,2,10,4,13,11,0,0,0,0,4.2,3.8,1.9,4.46,3.86,1.86,2018-2019
2018-09-15,Tottenham,Liverpool,A,1,2,11,17,3,10,5,4,17,16,0,0,0,0,3,3.6,2.4,3.14,3.57,2.37,2018-2019
2018-09-15,Watford,Man United,A,1,2,14,9,5,6,6,8,9,11,2,1,0,1,4.33,3.6,1.95,4.8,3.68,1.85,2018-2019
2018-09-16,Everton,West Ham,A,1,3,16,9,4,4,4,2,15,12,2,5,0,0,2,3.75,3.9,2.17,3.42,3.74,2018-2019
2018-09-16,Wolves,Burnley,H,1,0,30,7,7,2,8,2,10,9,2,4,0,0,1.75,3.6,5.75,1.75,3.65,5.75,2018-2019
2018-09-17,Southampton,Brighton,D,2,2,14,12,5,4,1,4,10,13,2,3,0,0,2.1,3.4,3.9,2.06,3.34,4.17,2018-2019
2018-09-22,Brighton,Tottenham,A,1,2,8,16,4,7,5,7,15,9,2,1,0,0,5,4,1.75,5.52,3.99,1.7,2018-2019
2018-09-22,Burnley,Bournemouth,H,4,0,12,19,5,5,3,8,17,6,2,0,0,0,3,3.4,2.5,3.38,3.38,2.34,2018-2019
2018-09-22,Cardiff,Man City,A,0,5,2,21,2,10,1,9,6,4,1,1,0,0,23,8,1.16,21.63,8.65,1.15,2018-2019
2018-09-22,Crystal Palace,Newcastle,D,0,0,16,6,4,3,9,5,8,11,1,1,0,0,2.14,3.4,3.75,2.15,3.29,3.9,2018-2019
2018-09-22,Fulham,Watford,D,1,1,15,11,3,6,8,8,11,9,2,1,0,0,2.54,3.5,2.9,2.86,3.45,2.64,2018-2019
2018-09-22,Leicester,Huddersfield,H,3,1,18,9,8,2,3,1,10,16,2,1,0,0,1.61,4,6.5,1.72,3.67,5.91,2018-2019
2018-09-22,Liverpool,Southampton,H,3,0,12,7,4,1,5,4,7,10,0,2,0,0,1.2,7.5,17,1.2,7.28,15.97,2018-2019
2018-09-22,Man United,Wolves,D,1,1,15,11,6,8,5,4,5,17,1,1,0,0,1.57,4.33,6.5,1.6,3.85,6.81,2018-2019
2018-09-23,Arsenal,Everton,H,2,0,9,9,5,6,5,9,17,12,2,1,0,0,1.44,5,7.5,1.4,5.46,7.94,2018-2019
2018-09-23,West Ham,Chelsea,D,0,0,6,17,1,6,1,8,11,9,2,1,0,0,6,4.5,1.57,6.86,4.73,1.5,2018-2019
2018-09-29,Arsenal,Watford,H,2,0,9,13,2,4,6,6,11,17,2,2,0,0,1.44,5.1,7,1.49,4.88,6.75,2018-2019
2018-09-29,Chelsea,Liverpool,D,1,1,10,13,4,6,4,4,7,9,0,2,0,0,2.8,3.6,2.54,2.83,3.51,2.63,2018-2019
2018-09-29,Everton,Fulham,H,3,0,19,6,6,0,12,1,13,13,0,3,0,0,1.75,4.2,4.75,1.65,4.32,5.49,2018-2019
2018-09-29,Huddersfield,Tottenham,A,0,2,9,10,5,6,3,0,17,16,2,2,0,0,8.5,4.5,1.44,6.19,3.88,1.66,2018-2019
2018-09-29,Man City,Brighton,H,2,0,28,4,8,1,10,3,4,10,0,3,0,0,1.1,12,34,1.1,11.74,28.42,2018-2019
2018-09-29,Newcastle,Leicester,A,0,2,6,12,1,5,5,9,11,5,0,0,0,0,2.6,3.3,3,2.86,3.13,2.82,2018-2019
2018-09-29,West Ham,Man United,H,3,1,8,9,3,4,4,9,12,12,0,1,0,0,4.5,3.8,1.85,4.08,3.56,2.03,2018-2019
2018-09-29,Wolves,Southampton,H,2,0,14,17,6,6,8,6,11,7,3,1,0,0,1.8,3.6,5.25,1.96,3.48,4.5,2018-2019
2018-09-30,Cardiff,Burnley,A,1,2,19,3,5,2,10,2,11,15,1,3,0,0,2.62,3,3.2,2.5,3.16,3.32,2018-2019
2018-10-01,Bournemouth,Crystal Palace,H,2,1,11,10,5,2,3,3,9,12,3,4,0,0,2.25,3.5,3.4,2.33,3.52,3.27,2018-2019
