Date,Home_Team,Away_Team,Full_Time_Result,Home_Full_Time_Goals,Away_Full_Time_Goals,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Home_Bet365_Odds,Draw_Bet365_Odds,Away_Bet365_Odds,Home_Pinnacle_Odds,Draw_Pinnacle_Odds,Away_Pinnacle_Odds,Season
2022-08-05,Crystal Palace,Arsenal,A,0,2,10,10,2,2,3,5,16,11,1,2,0,0,4.2,3.6,1.85,4.58,3.63,1.88,2022-2023
2022-08-06,Fulham,Liverpool,D,2,2,9,11,3,4,4,4,7,9,2,0,0,0,11,6,1.25,10.5,6.5,1.29,2022-2023
2022-08-06,Bournemouth,Aston Villa,H,2,0,7,15,3,2,5,5,18,16,3,3,0,0,3.75,3.5,2,4.09,3.59,2,2022-2023
2022-08-06,Leeds,Wolves,H,2,1,12,15,4,6,6,4,13,9,2,0,0,0,2.25,3.4,3.2,2.45,3.44,3.09,2022-2023
2022-08-06,Newcastle,Nott'm Forest,H,2,0,23,5,10,0,11,1,9,14,0,3,0,0,1.66,3.8,5.25,1.57,4.22,6.6,2022-2023
2022-08-06,Tottenham,Southampton,H,4,1,18,10,8,2,10,2,11,6,3,0,0,0,1.33,5.5,8.5,1.39,5.34,8.55,2022-2023
2022-08-06,Everton,Chelsea,A,0,1,8,15,4,6,4,16,14,11,3,2,0,0,5.5,4,1.61,6.89,4.16,1.56,2022-2023
2022-08-07,Leicester,Brentford,D,2,2,14,8,5,3,5,6,6,5,0,0,0,0,2,3.75,3.5,1.96,3.69,4.29,2022-2023
2022-08-07,Man United,Brighton,A,1,2,17,15,5,4,6,2,7,12,4,1,0,0,1.6,4.2,5.25,1.81,3.86,4.72,2022-2023
2022-08-07,West Ham,Man City,A,0,2,6,14,1,2,1,4,8,4,0,1,0,0,8,5,1.36,8,5.35,1.41,2022-2023
2022-08-13,Aston Villa,Everton,H,2,1,12,15,4,4,5,8,9,7,4,1,0,0,1.8,3.5,4.75,1.81,3.64,5.11,2022-2023
2022-08-13,Arsenal,Leicester,H,4,2,19,6,7,2,6,2,15,9,1,1,0,0,1.53,4.33,5.75,1.58,4.42,5.97,2022-2023
2022-08-13,Brighton,Newcastle,D,0,0,13,4,7,1,7,3,8,6,2,3,0,0,2.45,3.2,3,2.5,3.3,3.14,2022-2023
2022-08-13,Man City,Bournemouth,H,4,0,19,3,7,1,11,1,9,9,0,3,0,0,1.06,13,29,1.08,13.5,36,2022-2023
2022-08-13,Southampton,Leeds,D,2,2,14,13,4,5,2,5,10,12,1,3,0,0,2.25,3.5,3.1,2.44,3.64,2.96,2022-2023
2022-08-13,Wolves,Fulham,D,0,0,7,9,1,3,5,3,7,14,3,3,0,0,2.3,3.3,3.2,2.23,3.48,3.5,2022-2023
2022-08-13,Brentford,Man United,H,4,0,13,15,7,4,8,2,6,15,0,4,0,0,3.75,3.5,2,4.65,4.09,1.78,2022-2023
2022-08-14,Nott'm Forest,West Ham,H,1,0,13,19,6,5,6,7,10,11,4,1,0,0,4.2,3.6,1.85,4.03,3.68,1.99,2022-2023
2022-08-14,Chelsea,Tottenham,D,2,2,16,10,3,5,8,5,9,9,3,0,0,0,2.25,3.4,3.2,2.17,3.53,3.61,2022-2023
2022-08-15,Liverpool,Crystal Palace,D,1,1,24,7,4,3,4,2,7,8,2,4,1,0,1.18,6.75,16,1.29,6.25,12,2022-2023
2022-08-20,Tottenham,Wolves,H,1,0,11,20,4,3,8,6,10,8,2,2,0,0,1.4,4.75,7.5,1.48,4.88,6.99,2022-2023
2022-08-20,Crystal Palace,Aston Villa,H,3,1,17,13,9,5,4,2,16,14,2,1,0,0,2.5,3.25,2.9,2.56,3.26,3.08,2022-2023
2022-08-20,Everton,Nott'm Forest,D,1,1,19,14,8,5,6,2,6,9,3,2,0,0,1.9,3.6,4,1.89,3.58,4.62,2022-2023
2022-08-20,Fulham,Brentford,H,3,2,18,13,9,5,6,3,13,7,3,2,0,0,2.45,3.4,2.9,2.7,3.44,2.8,2022-2023
