Date,Home_Team,Away_Team,Full_Time_Result,Home_Full_Time_Goals,Away_Full_Time_Goals,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Home_Bet365_Odds,Draw_Bet365_Odds,Away_Bet365_Odds,Home_Pinnacle_Odds,Draw_Pinnacle_Odds,Away_Pinnacle_Odds,Season
2012-08-18,Arsenal,Sunderland,D,0,0,14,3,4,2,7,0,12,8,0,0,0,0,1.4,4.5,8.5,1.44,4.72,8.71,2012-2013
2012-08-18,Fulham,Norwich,H,5,0,11,4,9,2,6,3,12,11,0,0,0,0,1.8,3.6,4.5,1.84,3.75,4.75,2012-2013
2012-08-18,Newcastle,Tottenham,H,2,1,6,12,4,6,3,5,12,8,2,2,0,0,2.5,3.4,2.75,2.83,3.35,2.72,2012-2013
2012-08-18,QPR,Swansea,A,0,5,20,12,11,8,5,3,11,14,2,2,0,0,2,3.4,3.8,2,3.53,4.15,2012-2013
2012-08-18,Reading,Stoke,D,1,1,9,6,3,3,4,3,9,14,2,4,0,1,2.38,3.25,3.1,2.47,3.3,3.22,2012-2013
2012-08-18,West Brom,Liverpool,H,3,0,15,14,10,7,7,3,10,11,1,4,0,1,4.2,3.5,1.91,4.76,3.74,1.84,2012-2013
2012-08-18,West Ham,Aston Villa,H,1,0,8,10,4,6,6,4,17,8,0,1,0,0,2.2,3.3,3.4,2.14,3.5,3.71,2012-2013
2012-08-19,Man City,Southampton,H,3,2,20,9,15,6,7,3,4,6,1,2,0,0,1.17,7,17,1.13,9.38,26.18,2012-2013
2012-08-19,Wigan,Chelsea,A,0,2,12,5,4,3,7,1,16,11,2,2,0,0,6,3.75,1.62,4.92,3.77,1.81,2012-2013
2012-08-20,Everton,Man United,H,1,0,16,12,7,7,6,8,12,11,1,2,0,0,4.33,3.6,1.83,3.91,3.59,2.06,2012-2013
2012-08-22,Chelsea,Reading,H,4,2,23,7,11,5,1,5,11,14,0,2,0,0,1.25,5.5,13,1.3,5.75,12.6,2012-2013
2012-08-25,Aston Villa,Everton,A,1,3,7,19,3,11,1,9,10,7,1,0,1,0,2.9,3.4,2.4,3.73,3.42,2.16,2012-2013
2012-08-25,Chelsea,Newcastle,H,2,0,11,11,6,5,2,3,8,10,1,0,0,0,1.5,4.33,6.5,1.5,4.49,7.5,2012-2013
2012-08-25,Man United,Fulham,H,3,2,20,14,11,11,8,8,12,7,0,1,0,0,1.29,5.5,11,1.3,6.04,11.99,2012-2013
2012-08-25,Norwich,QPR,D,1,1,13,6,4,4,6,2,15,14,0,2,0,0,2.25,3.4,3.2,2.37,3.6,3.09,2012-2013
2012-08-25,Southampton,Wigan,A,0,2,14,12,9,8,10,3,11,9,0,0,0,0,2.1,3.4,3.5,2.2,3.47,3.61,2012-2013
2012-08-25,Swansea,West Ham,H,3,0,10,7,7,6,5,4,13,17,2,4,0,0,2.1,3.3,3.6,2.22,3.4,3.6,2012-2013
2012-08-25,Tottenham,West Brom,D,1,1,18,10,10,5,7,5,8,7,1,2,0,0,1.5,4.33,6.5,1.63,4.18,5.9,2012-2013
2012-08-26,Liverpool,Man City,D,2,2,15,11,8,5,4,4,10,7,1,0,0,0,3.1,3.4,2.3,2.95,3.43,2.57,2012-2013
2012-08-26,Stoke,Arsenal,D,0,0,7,16,4,6,0,11,9,9,2,0,0,0,3.5,3.4,2.1,3.3,3.41,2.36,2012-2013
2012-09-01,Man City,QPR,H,3,1,19,9,12,5,8,3,12,3,2,1,0,0,1.18,7,15,1.18,8.19,19.39,2012-2013
2012-09-01,Swansea,Sunderland,D,2,2,14,4,10,3,8,0,11,7,1,1,1,0,2.2,3.3,3.4,2.04,3.47,4.07,2012-2013
2012-09-01,Tottenham,Norwich,D,1,1,15,10,9,4,4,2,7,12,1,0,1,0,1.36,5,8.5,1.35,5.46,10.48,2012-2013
2012-09-01,West Brom,Everton,H,2,0,14,12,8,5,6,3,11,15,1,4,0,0,3,3.3,2.38,3.25,3.39,2.39,2012-2013
2012-09-01,West Ham,Fulham,H,3,0,17,14,12,13,6,6,12,5,0,0,0,0,2.5,3.25,2.88,2.74,3.41,2.77,2012-2013
2012-09-01,Wigan,Stoke,D,2,2,9,16,5,8,2,1,13,11,1,2,0,0,2.25,3.25,3.3,2.15,3.28,4,2012-2013
2012-09-02,Liverpool,Arsenal,A,0,2,17,11,8,7,10,2,12,7,2,2,0,0,2,3.5,3.75,1.88,3.78,4.43,2012-2013
2012-09-02,Newcastle,Aston Villa,D,1,1,16,13,6,9,10,6,6,20,1,4,0,0,1.62,3.75,6,1.66,3.95,6.13,2012-2013
2012-09-02,Southampton,Man United,A,2,3,15,18,8,9,4,7,9,4,1,0,0,0,6,4.2,1.53,7.24,4.62,1.5,2012-2013
2012-09-15,Arsenal,Southampton,H,6,1,20,9,12,4,8,3,4,7,0,0,0,0,1.36,5,8.5,1.35,5.44,10.62,2012-2013
2012-09-15,Aston Villa,Swansea,H,2,0,17,10,13,5,11,5,11,4,3,1,0,0,2.38,3.25,3.1,2.35,3.36,3.36,2012-2013
2012-09-15,Fulham,West Brom,H,3,0,23,10,14,8,5,4,6,10,0,0,0,1,2.1,3.4,3.5,2.25,3.44,3.5,2012-2013
2012-09-15,Man United,Wigan,H,4,0,17,8,10,4,5,5,10,14,2,2,0,0,1.25,6,12,1.33,5.68,11.12,2012-2013
2012-09-15,Norwich,West Ham,D,0,0,20,9,14,4,8,5,10,12,0,1,0,0,2.38,3.4,3,2.54,3.4,2.99,2012-2013
2012-09-15,QPR,Chelsea,D,0,0,10,13,6,9,2,4,16,17,0,2,0,0,4.5,3.5,1.83,4.43,3.69,1.91,2012-2013
2012-09-15,Stoke,Man City,D,1,1,4,15,3,11,6,5,12,12,0,1,0,0,5,3.6,1.73,5.47,3.8,1.74,2012-2013
2012-09-15,Sunderland,Liverpool,D,1,1,6,20,4,9,2,7,18,10,1,2,0,0,3.4,3.3,2.2,3.66,3.59,2.12,2012-2013
2012-09-16,Reading,Tottenham,A,1,3,4,22,2,11,7,4,4,9,0,1,0,0,3.75,3.5,2,3.68,3.44,2.18,2012-2013
2012-09-17,Everton,Newcastle,D,2,2,17,11,10,7,3,3,16,12,3,3,0,0,1.73,3.6,5,1.53,4.33,7.06,2012-2013
2012-09-22,Chelsea,Stoke,H,1,0,17,13,9,6,13,3,12,15,2,1,0,0,1.36,4.75,9,1.4,4.95,10.01,2012-2013
2012-09-22,Southampton,Aston Villa,H,4,1,12,8,4,2,1,4,5,13,1,3,0,0,2.4,3.3,3,2.35,3.39,3.33,2012-2013
2012-09-22,Swansea,Everton,A,0,3,18,30,11,19,8,3,23,7,4,1,1,0,3,3.3,2.4,3.25,3.31,2.44,2012-2013
2012-09-22,West Brom,Reading,H,1,0,9,8,4,1,9,1,14,6,1,0,0,0,1.73,3.75,4.75,1.63,4.15,6.05,2012-2013
2012-09-22,West Ham,Sunderland,D,1,1,20,4,11,2,10,1,12,10,2,1,0,0,2.1,3.3,3.6,2.04,3.41,4.16,2012-2013
2012-09-22,Wigan,Fulham,A,1,2,18,12,9,9,8,7,7,13,0,3,0,0,2.4,3.3,3,2.42,3.36,3.24,2012-2013
2012-09-23,Liverpool,Man United,A,1,2,13,8,8,4,7,3,14,7,1,2,1,0,2.7,3.3,2.63,2.76,3.25,2.85,2012-2013
2012-09-23,Man City,Arsenal,D,1,1,14,10,10,4,9,4,11,7,1,0,0,0,1.75,3.6,4.75,1.8,3.85,4.9,2012-2013
2012-09-23,Newcastle,Norwich,H,1,0,16,8,8,3,4,5,11,19,1,1,0,0,1.8,3.6,4.5,1.71,4.07,5.24,2012-2013
2012-09-23,Tottenham,QPR,H,2,1,18,9,14,6,10,9,7,12,0,2,0,0,1.44,4.33,7.5,1.51,4.5,7.25,2012-2013
2012-09-29,Arsenal,Chelsea,A,1,2,14,10,5,5,6,5,14,13,2,3,0,0,2.1,3.4,3.5,2.19,3.44,3.65,2012-2013
2012-09-29,Everton,Southampton,H,3,1,17,8,9,2,10,3,2,3,0,0,0,0,1.4,4.75,8,1.4,5.27,8.81,2012-2013
2012-09-29,Fulham,Man City,A,1,2,7,21,3,12,2,4,7,12,0,1,0,0,4.33,3.6,1.83,4.69,3.88,1.82,2012-2013
2012-09-29,Man United,Tottenham,A,2,3,15,10,8,6,9,5,5,7,0,0,0,0,1.57,4,6,1.55,4.44,6.6,2012-2013
2012-09-29,Norwich,Liverpool,A,2,5,10,10,7,6,5,5,5,2,1,0,0,0,4.75,3.75,1.73,4.93,3.91,1.78,2012-2013
2012-09-29,Reading,Newcastle,D,2,2,14,8,7,3,6,3,6,8,0,3,0,0,2.88,3.3,2.5,2.86,3.41,2.66,2012-2013
2012-09-29,Stoke,Swansea,H,2,0,10,8,5,0,6,8,10,8,1,1,0,0,1.91,3.4,4.2,1.97,3.53,4.34,2012-2013
2012-09-29,Sunderland,Wigan,H,1,0,11,8,6,3,8,1,20,16,2,5,0,1,2,3.4,3.8,2.25,3.33,3.62,2012-2013
2012-09-30,Aston Villa,West Brom,D,1,1,19,14,8,7,11,4,9,11,1,1,0,0,2.4,3.3,3,2.54,3.43,2.98,2012-2013
2012-10-01,QPR,West Ham,A,1,2,13,17,9,10,4,13,9,21,1,8,1,0,2.05,3.4,3.75,2.41,3.52,3.1,2012-2013
2012-10-06,Chelsea,Norwich,H,4,1,20,7,13,4,10,2,7,1,0,0,0,0,1.22,6.5,12,1.22,7.35,16.36,2012-2013
2012-10-06,Man City,Sunderland,H,3,0,26,8,16,6,15,4,10,10,0,3,0,0,1.29,5.5,11,1.31,5.75,12.26,2012-2013
2012-10-06,Swansea,Reading,D,2,2,25,8,16,6,11,3,8,11,1,3,0,0,1.91,3.6,4,1.84,3.79,4.68,2012-2013
2012-10-06,West Brom,QPR,H,3,2,13,13,8,6,2,5,16,12,2,2,0,0,1.83,3.75,4.2,1.93,3.78,4.19,2012-2013
2012-10-06,West Ham,Arsenal,A,1,3,7,20,3,14,4,16,12,7,3,2,0,0,4,3.6,1.91,4.38,3.77,1.89,2012-2013
2012-10-06,Wigan,Everton,D,2,2,10,16,6,11,7,6,14,14,2,5,0,0,4.2,3.4,1.91,3.79,3.5,2.13,2012-2013
2012-10-07,Liverpool,Stoke,D,0,0,16,5,5,3,5,5,9,16,0,6,0,0,1.44,4.33,7.5,1.51,4.34,7.87,2012-2013
2012-10-07,Newcastle,Man United,A,0,3,13,12,3,9,8,6,15,12,4,4,0,0,4.2,3.75,1.83,4.68,4.33,1.73,2012-2013
2012-10-07,Southampton,Fulham,D,2,2,13,14,6,5,8,8,13,5,4,0,0,0,2.75,3.3,2.6,2.54,3.49,2.91,2012-2013
2012-10-07,Tottenham,Aston Villa,H,2,0,23,8,10,5,8,0,7,10,1,3,0,0,1.44,4.33,7.5,1.47,4.55,8.14,2012-2013
2012-10-20,Fulham,Aston Villa,H,1,0,17,9,8,4,6,4,7,11,1,2,0,0,1.8,3.6,4.5,1.68,4.04,5.61,2012-2013
2012-10-20,Liverpool,Reading,H,1,0,23,8,13,5,6,5,13,6,1,1,0,0,1.33,5,10,1.31,5.85,11.8,2012-2013
2012-10-20,Man United,Stoke,H,4,2,13,8,8,6,3,3,9,10,1,1,0,0,1.29,5.5,11,1.31,5.56,12.92,2012-2013
2012-10-20,Norwich,Arsenal,H,1,0,7,13,3,7,2,10,9,9,4,0,0,0,6,4.2,1.53,7.25,4.84,1.48,2012-2013
2012-10-20,Swansea,Wigan,H,2,1,18,10,11,7,9,2,13,11,2,3,0,0,2.1,3.4,3.5,2.23,3.48,3.49,2012-2013
2012-10-20,Tottenham,Chelsea,A,2,4,23,11,16,7,7,4,7,8,3,2,0,0,2.5,3.4,2.75,3.2,3.33,2.43,2012-2013
2012-10-20,West Brom,Man City,A,1,2,16,21,8,13,6,9,11,15,4,3,0,1,5,3.75,1.7,5.71,4.29,1.64,2012-2013
2012-10-20,West Ham,Southampton,H,4,1,9,11,8,4,6,3,10,12,0,2,0,0,1.83,3.75,4.2,1.85,3.85,4.51,2012-2013
2012-10-21,QPR,Everton,D,1,1,14,10,6,4,5,4,12,18,2,1,0,1,3.25,3.4,2.2,3.56,3.5,2.19,2012-2013
2012-10-21,Sunderland,Newcastle,D,1,1,16,10,6,7,8,4,14,15,0,4,0,1,2.5,3.3,2.88,2.93,3.27,2.69,2012-2013
2012-10-27,Arsenal,QPR,H,1,0,21,4,11,3,5,2,14,9,1,2,0,1,1.36,5,8.5,1.38,5.4,9.59,2012-2013
2012-10-27,Aston Villa,Norwich,D,1,1,7,14,5,6,3,8,12,7,2,0,1,0,2,3.5,3.75,2.04,3.56,3.95,2012-2013
2012-10-27,Man City,Swansea,H,1,0,10,9,5,5,3,0,8,10,1,2,0,0,1.22,6,15,1.22,7.2,16,2012-2013
2012-10-27,Reading,Fulham,D,3,3,15,16,9,8,6,8,6,17,1,1,0,0,2.75,3.4,2.5,3.26,3.41,2.37,2012-2013
2012-10-27,Stoke,Sunderland,D,0,0,11,6,6,3,7,3,12,6,2,2,0,0,1.95,3.3,4.2,1.96,3.37,4.68,2012-2013
2012-10-27,Wigan,West Ham,H,2,1,17,15,13,11,6,6,10,16,3,4,0,0,2.25,3.4,3.2,2.27,3.44,3.42,2012-2013
2012-10-28,Chelsea,Man United,A,2,3,14,15,11,7,8,6,13,11,2,2,2,0,2.4,3.4,2.9,2.27,3.58,3.31,2012-2013
2012-10-28,Everton,Liverpool,D,2,2,17,12,8,5,9,5,16,18,4,3,0,0,2.6,3.3,2.75,2.78,3.24,2.84,2012-2013
2012-10-28,Newcastle,West Brom,H,2,1,10,8,6,4,6,4,13,7,3,2,0,0,2,3.5,3.75,1.95,3.67,4.24,2012-2013
2012-10-28,Southampton,Tottenham,A,1,2,11,11,6,4,2,3,14,8,0,3,0,0,4.2,3.75,1.83,3.7,3.64,2.1,2012-2013
2012-11-03,Fulham,Everton,D,2,2,8,26,5,15,5,9,16,9,3,1,0,0,2.75,3.4,2.5,2.76,3.52,2.68,2012-2013
2012-11-03,Man United,Arsenal,H,2,1,11,7,7,3,6,1,13,13,5,3,0,1,1.7,3.8,5,1.74,4.09,4.95,2012-2013
2012-11-03,Norwich,Stoke,H,1,0,12,8,8,3,9,1,11,13,1,5,0,0,2.6,3.3,2.75,2.46,3.37,3.16,2012-2013
2012-11-03,Sunderland,Aston Villa,A,0,1,11,9,1,6,6,7,10,17,2,3,0,0,2.1,3.3,3.6,1.99,3.36,4.54,2012-2013
2012-11-03,Swansea,Chelsea,D,1,1,9,11,7,7,8,6,12,9,4,1,0,0,4.5,3.6,1.8,4.33,3.79,1.9,2012-2013
2012-11-03,Tottenham,Wigan,A,0,1,13,7,10,4,9,3,10,11,1,1,0,0,1.5,4.33,6.5,1.54,4.44,6.79,2012-2013
2012-11-03,West Ham,Man City,D,0,0,6,18,1,8,3,7,11,12,3,0,0,0,5,3.8,1.7,4.66,4,1.8,2012-2013
2012-11-04,Liverpool,Newcastle,D,1,1,20,10,12,3,14,3,10,13,0,1,0,1,1.57,4,6,1.61,4.5,5.61,2012-2013
2012-11-04,QPR,Reading,D,1,1,23,18,12,8,8,8,11,15,0,2,0,0,1.8,3.6,4.5,1.97,3.63,4.21,2012-2013
2012-11-05,West Brom,Southampton,H,2,0,16,9,6,5,8,6,6,12,1,0,0,0,1.73,3.75,4.75,1.87,3.89,4.36,2012-2013
