Date,Home_Team,Away_Team,Full_Time_Result,Full_Time_Home_Goals,Full_Time_Away_Goals,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Bet365_Home_Odds,Bet365_Draw_Odds,Bet365_Away_Odds,Season
2007-09-02,Blackburn,Man City,H,1,0,16,7,11,3,6,3,23,3,5,1,1,1,2.2,3.2,3.25,2007-2008
2007-09-15,Birmingham,Bolton,H,1,0,10,8,5,3,6,5,16,15,1,3,0,0,2.37,3.25,3,2007-2008
2007-09-15,Chelsea,Blackburn,D,0,0,16,5,8,1,9,2,21,13,2,2,0,0,1.36,4.33,10,2007-2008
2007-09-15,Everton,Man United,A,0,1,8,16,2,8,3,6,20,10,2,2,0,0,4.5,3.5,1.8,2007-2008
2007-09-15,Portsmouth,Liverpool,D,0,0,9,12,2,6,5,4,20,14,3,2,0,0,5,3.5,1.72,2007-2008
2007-09-15,Sunderland,Reading,H,2,1,14,10,8,4,9,9,14,18,1,2,0,0,2.25,3.25,3.2,2007-2008
2007-09-15,Tottenham,Arsenal,A,1,3,14,16,5,10,8,4,28,22,2,2,0,0,2.8,3.2,2.5,2007-2008
2007-09-15,West Ham,Middlesbrough,H,3,0,13,16,7,12,5,8,14,14,2,1,0,0,2,3.4,3.75,2007-2008
2007-09-15,Wigan,Fulham,D,1,1,14,10,4,5,9,4,8,9,1,0,0,0,2.1,3.25,3.6,2007-2008
2007-09-16,Man City,Aston Villa,H,1,0,12,11,8,2,8,6,11,14,1,1,0,0,2.37,3.25,3,2007-2008
2007-09-17,Derby,Newcastle,H,1,0,10,8,3,3,5,5,16,11,2,3,0,0,4.33,3.25,1.9,2007-2008
2007-09-22,Arsenal,Derby,H,5,0,15,4,9,3,5,4,9,12,1,1,0,0,1.14,7,23,2007-2008
2007-09-22,Fulham,Man City,D,3,3,13,11,8,5,6,2,10,7,3,2,0,0,2.5,3.25,2.8,2007-2008
2007-09-22,Liverpool,Birmingham,D,0,0,18,5,4,2,11,2,3,10,0,2,0,0,1.22,5.25,17,2007-2008
2007-09-22,Middlesbrough,Sunderland,D,2,2,16,11,5,6,7,2,18,11,3,4,0,0,2.1,3.2,3.6,2007-2008
2007-09-22,Reading,Wigan,H,2,1,15,9,7,5,6,7,17,13,3,2,0,0,2.1,3.2,3.6,2007-2008
2007-09-23,Aston Villa,Everton,H,2,0,8,8,3,6,6,3,17,12,1,0,0,0,2.25,3.2,3.25,2007-2008
2007-09-23,Blackburn,Portsmouth,A,0,1,9,13,3,7,7,4,6,16,0,3,0,0,1.9,3.3,4.2,2007-2008
2007-09-23,Bolton,Tottenham,D,1,1,5,10,4,7,4,11,14,15,0,2,0,0,2.8,3.25,2.5,2007-2008
2007-09-23,Man United,Chelsea,H,2,0,17,4,9,1,10,1,10,15,2,2,0,1,2.1,3.25,4,2007-2008
2007-09-23,Newcastle,West Ham,H,3,1,12,13,4,8,1,5,16,15,1,3,0,0,2,3.4,3.75,2007-2008
2007-09-29,Birmingham,Man United,A,0,1,17,11,9,4,4,4,14,11,3,1,0,0,6.5,4,1.53,2007-2008
2007-09-29,Chelsea,Fulham,D,0,0,16,6,4,1,9,4,8,18,1,1,1,0,1.3,5,12,2007-2008
2007-09-29,Derby,Bolton,D,1,1,10,12,6,7,7,8,15,8,3,2,0,0,2.7,3.25,2.62,2007-2008
2007-09-29,Man City,Newcastle,H,3,1,16,12,12,8,3,9,7,10,0,0,0,0,2.25,3.25,3.3,2007-2008
2007-09-29,Portsmouth,Reading,H,7,4,25,13,17,7,8,4,4,7,1,1,0,0,1.72,3.4,5.5,2007-2008
2007-09-29,Sunderland,Blackburn,A,1,2,14,14,12,8,10,2,11,4,1,0,0,0,2.75,3.25,2.62,2007-2008
2007-09-29,West Ham,Arsenal,A,0,1,9,16,4,12,3,14,15,14,2,2,0,0,4.5,3.5,1.83,2007-2008
2007-09-29,Wigan,Liverpool,A,0,1,9,14,3,10,5,6,11,10,2,1,0,0,6.5,3.8,1.57,2007-2008
2007-09-30,Everton,Middlesbrough,H,2,0,13,13,9,5,2,6,17,21,0,4,0,0,1.8,3.5,4.75,2007-2008
2007-10-01,Tottenham,Aston Villa,D,4,4,19,7,12,7,13,3,10,13,2,3,0,0,1.9,3.25,4.33,2007-2008
2007-10-06,Aston Villa,West Ham,H,1,0,5,8,5,3,7,4,17,12,3,2,0,0,1.83,3.6,4.33,2007-2008
2007-10-06,Man United,Wigan,H,4,0,17,6,12,2,12,2,12,6,1,1,0,0,1.16,6.5,21,2007-2008
2007-10-07,Arsenal,Sunderland,H,3,2,18,11,8,7,8,2,10,9,0,2,0,1,1.16,6.5,23,2007-2008
2007-10-07,Blackburn,Birmingham,H,2,1,17,6,5,5,6,7,15,13,3,1,0,0,1.66,3.75,5.5,2007-2008
2007-10-07,Bolton,Chelsea,A,0,1,13,15,7,8,5,5,17,8,5,1,0,0,5,3.6,1.72,2007-2008
2007-10-07,Fulham,Portsmouth,A,0,2,13,14,10,8,8,5,7,17,1,0,0,0,2.62,3.25,2.75,2007-2008
2007-10-07,Liverpool,Tottenham,D,2,2,21,11,9,6,5,3,18,10,0,1,0,0,1.53,4,6.5,2007-2008
2007-10-07,Man City,Middlesbrough,H,3,1,18,17,13,11,8,8,11,13,2,3,0,0,1.66,3.6,5.5,2007-2008
2007-10-07,Newcastle,Everton,H,3,2,15,11,10,6,8,2,13,19,2,1,0,0,2.1,3.3,3.6,2007-2008
2007-10-07,Reading,Derby,H,1,0,11,7,3,0,3,3,9,18,1,1,0,0,1.72,3.6,5,2007-2008
2007-10-20,Arsenal,Bolton,H,2,0,19,1,9,0,5,3,14,20,1,5,0,0,1.25,5.25,15,2007-2008
2007-10-20,Aston Villa,Man United,A,1,4,11,21,5,13,3,9,8,8,2,2,2,0,4.5,3.6,1.8,2007-2008
2007-10-20,Blackburn,Reading,H,4,2,11,13,6,7,4,9,8,7,0,0,0,0,1.7,3.5,5.5,2007-2008
2007-10-20,Everton,Liverpool,A,1,2,6,17,1,7,9,6,8,14,1,2,2,0,3.6,3.3,2.1,2007-2008
2007-10-20,Fulham,Derby,D,0,0,13,13,9,9,6,8,10,10,0,2,1,0,1.72,3.5,5.25,2007-2008
2007-10-20,Man City,Birmingham,H,1,0,12,13,4,8,6,7,17,12,3,2,0,0,1.57,3.6,7,2007-2008
2007-10-20,Middlesbrough,Chelsea,A,0,2,7,9,4,6,6,6,9,9,1,1,0,0,6,3.75,1.61,2007-2008
2007-10-20,Wigan,Portsmouth,A,0,2,7,15,0,8,3,2,9,9,2,3,0,0,3.1,3.25,2.37,2007-2008
2007-10-21,West Ham,Sunderland,H,3,1,12,16,7,10,6,7,8,17,3,2,0,0,1.9,3.25,4.5,2007-2008
2007-10-22,Newcastle,Tottenham,H,3,1,15,11,7,4,5,5,12,7,2,2,0,0,2.37,3.3,3,2007-2008
2007-10-27,Birmingham,Wigan,H,3,2,16,8,10,5,6,5,11,12,0,1,0,0,2.1,3.3,3.6,2007-2008
2007-10-27,Chelsea,Man City,H,6,0,16,7,9,4,9,3,13,12,2,2,0,0,1.5,4,7,2007-2008
2007-10-27,Man United,Middlesbrough,H,4,1,18,7,14,4,2,4,10,15,0,2,0,0,1.18,6.5,19,2007-2008
2007-10-27,Portsmouth,West Ham,D,0,0,10,10,3,3,11,5,18,9,2,4,0,0,1.8,3.5,4.75,2007-2008
2007-10-27,Reading,Newcastle,H,2,1,12,6,5,2,5,8,14,10,0,1,0,0,2.75,3.25,2.5,2007-2008
2007-10-27,Sunderland,Fulham,D,1,1,8,8,6,3,9,1,13,16,1,4,1,0,2.1,3.3,3.6,2007-2008
2007-10-28,Bolton,Aston Villa,D,1,1,13,8,6,3,7,3,15,13,2,1,0,0,2.7,3.3,2.62,2007-2008
2007-10-28,Derby,Everton,A,0,2,5,7,2,3,0,2,11,12,1,1,0,0,3.6,3.3,2.1,2007-2008
2007-10-28,Liverpool,Arsenal,D,1,1,11,11,8,4,4,1,16,10,3,3,0,0,2.5,3.25,2.8,2007-2008
2007-10-28,Tottenham,Blackburn,A,1,2,9,9,6,4,10,2,11,14,4,3,0,0,2.2,3.4,3.25,2007-2008
2007-11-03,Arsenal,Man United,D,2,2,16,10,6,4,3,4,15,15,1,2,0,0,2.5,3.1,3,2007-2008
2007-11-03,Aston Villa,Derby,H,2,0,15,8,7,2,7,4,7,20,0,3,0,0,1.4,4.33,9,2007-2008
2007-11-03,Blackburn,Liverpool,D,0,0,15,11,7,7,6,3,7,11,0,1,0,0,3,3.3,2.37,2007-2008
2007-11-03,Everton,Birmingham,H,3,1,16,7,9,6,6,5,14,22,0,1,0,0,1.66,3.5,5.75,2007-2008
2007-11-03,Fulham,Reading,H,3,1,9,13,7,6,8,9,11,6,3,0,1,0,2.2,3.25,3.4,2007-2008
2007-11-03,Middlesbrough,Tottenham,D,1,1,5,9,3,4,6,7,13,8,1,0,0,0,3,3.25,2.4,2007-2008
2007-11-03,Newcastle,Portsmouth,A,1,4,14,10,7,7,4,5,15,15,2,2,0,0,2.1,3.3,3.6,2007-2008
2007-11-03,Wigan,Chelsea,A,0,2,10,13,3,7,4,3,16,9,2,1,0,0,9,4.33,1.4,2007-2008
2007-11-04,West Ham,Bolton,D,1,1,9,11,7,6,8,3,13,13,2,1,0,0,1.9,3.3,4.33,2007-2008
2007-11-05,Man City,Sunderland,H,1,0,7,8,3,2,2,3,11,14,0,1,0,0,1.61,3.75,6,2007-2008
2007-11-10,Derby,West Ham,A,0,5,9,16,2,11,4,5,12,9,2,2,0,0,3.25,3.4,2.2,2007-2008
2007-11-10,Liverpool,Fulham,H,2,0,20,5,12,3,8,2,9,12,0,2,0,0,1.22,5,13,2007-2008
2007-11-10,Sunderland,Newcastle,D,1,1,19,9,8,5,7,4,10,15,1,2,0,0,2.87,3.25,2.5,2007-2008
2007-11-11,Birmingham,Aston Villa,A,1,2,13,13,8,6,8,5,17,8,3,2,0,0,2.7,3.2,2.7,2007-2008
2007-11-11,Bolton,Middlesbrough,D,0,0,15,8,7,7,6,7,16,22,1,2,0,0,2.1,3.4,3.5,2007-2008
2007-11-11,Chelsea,Everton,D,1,1,15,6,10,2,9,1,13,16,2,2,0,0,1.33,5,10,2007-2008
2007-11-11,Man United,Blackburn,H,2,0,22,12,15,7,9,4,7,19,1,4,0,1,1.33,4.5,8.5,2007-2008
2007-11-11,Portsmouth,Man City,D,0,0,20,10,12,5,9,1,11,7,1,1,0,0,2,3.4,3.8,2007-2008
2007-11-11,Tottenham,Wigan,H,4,0,19,6,8,2,5,2,8,16,0,2,0,0,1.44,4.2,8,2007-2008
2007-11-12,Reading,Arsenal,A,1,3,8,16,5,7,5,1,9,5,1,1,0,0,7,4,1.5,2007-2008
2007-11-24,Arsenal,Wigan,H,2,0,13,7,6,2,7,3,9,17,1,4,0,0,1.16,7,17,2007-2008
2007-11-24,Birmingham,Portsmouth,A,0,2,4,15,3,8,4,3,17,21,3,2,0,0,3.2,3.3,2.3,2007-2008
2007-11-24,Bolton,Man United,H,1,0,6,13,5,3,4,6,16,13,3,0,0,0,9,4.33,1.4,2007-2008
2007-11-24,Derby,Chelsea,A,0,2,9,9,4,5,3,2,8,6,0,1,0,1,15,6,1.22,2007-2008
2007-11-24,Everton,Sunderland,H,7,1,24,13,18,7,2,6,9,13,0,1,0,0,1.61,3.6,6.5,2007-2008
2007-11-24,Man City,Reading,H,2,1,13,5,9,3,2,7,12,15,0,2,0,0,1.57,3.75,6.5,2007-2008
2007-11-24,Middlesbrough,Aston Villa,A,0,3,15,11,8,8,11,6,16,17,2,1,0,0,2.75,3.25,2.6,2007-2008
2007-11-24,Newcastle,Liverpool,A,0,3,6,17,2,11,0,8,13,11,3,1,0,0,3.8,3.3,2,2007-2008
2007-11-25,Fulham,Blackburn,D,2,2,5,12,2,10,3,6,19,10,2,1,0,0,2.87,3.25,2.5,2007-2008
2007-11-25,West Ham,Tottenham,D,1,1,14,9,9,5,7,8,33,5,3,4,0,0,2.75,3.25,2.6,2007-2008
2007-11-28,Blackburn,Aston Villa,A,0,4,16,7,10,7,11,2,11,16,0,1,1,0,2.2,3.25,3.4,2007-2008
