Date,Home_Team,Away_Team,Full_Time_Result,Home_Full_Time_Goals,Away_Full_Time_Goals,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Home_Bet365_Odds,Draw_Bet365_Odds,Away_Bet365_Odds,Home_Pinnacle_Odds,Draw_Pinnacle_Odds,Away_Pinnacle_Odds,Season
2019-08-09,Liverpool,Norwich,H,4,1,15,12,7,5,11,2,9,9,0,2,0,0,1.14,10,19,1.14,10.43,19.63,2019-2020
2019-08-10,West Ham,Man City,A,0,5,5,14,3,9,1,1,6,13,2,2,0,0,12,6.5,1.22,11.11,6.68,1.27,2019-2020
2019-08-10,Bournemouth,Sheffield United,D,1,1,13,8,3,3,3,4,10,19,2,1,0,0,1.95,3.6,3.6,1.98,3.67,4.06,2019-2020
2019-08-10,Burnley,Southampton,H,3,0,10,11,4,3,2,7,6,12,0,0,0,0,2.62,3.2,2.75,2.71,3.19,2.9,2019-2020
2019-08-10,Crystal Palace,Everton,D,0,0,6,10,2,3,6,2,16,14,2,1,0,1,3,3.25,2.37,3.37,3.45,2.27,2019-2020
2019-08-10,Watford,Brighton,A,0,3,11,5,3,3,5,2,15,11,0,1,0,0,1.9,3.4,4,2.05,3.38,4.12,2019-2020
2019-08-10,Tottenham,Aston Villa,H,3,1,31,7,7,4,14,0,13,9,1,0,0,0,1.3,5.25,10,1.39,5.35,8.42,2019-2020
2019-08-11,Leicester,Wolves,D,0,0,15,8,1,2,12,3,3,13,0,2,0,0,2.2,3.2,3.4,2.5,3.12,3.3,2019-2020
2019-08-11,Newcastle,Arsenal,A,0,1,9,8,2,2,5,3,12,7,1,3,0,0,4.5,3.75,1.72,3.36,3.56,2.25,2019-2020
2019-08-11,Man United,Chelsea,H,4,0,11,18,5,7,3,5,15,13,3,4,0,0,2.1,3.3,3.5,2.04,3.44,4.14,2019-2020
2019-08-17,Arsenal,Burnley,H,2,1,16,18,9,5,10,7,13,11,2,1,0,0,1.3,5.5,10,1.38,5.35,8.78,2019-2020
